name,128,64,32,16,8,4,2,1
Damir Dzumhur,100.0%,62.28%,37.419999999999995%,17.080000000000002%,4.8%,1.38%,0.21%,0.04%
Henri Laaksonen,100.0%,42.39%,13.91%,3.4299999999999997%,0.38999999999999996%,0.13%,0.04%,0.04%
Feliciano Lopez,100.0%,57.03%,31.740000000000002%,12.43%,3.3300000000000005%,0.6799999999999999%,0.11%,0.03%
Alexandr Dolgopolov,100.0%,53.76%,23.74%,7.64%,2.12%,0.52%,0.1%,0.03%
Pedro Sousa,100.0%,46.61%,17.32%,4.89%,0.97%,0.29%,0.08%,0.03%
Federico Delbonis,100.0%,49.669999999999995%,20.560000000000002%,5.87%,1.48%,0.33%,0.04%,0.03%
Gilles Muller,100.0%,59.489999999999995%,34.11%,13.889999999999999%,3.6900000000000004%,0.9299999999999999%,0.26%,0.02%
Daniil Medvedev,100.0%,53.0%,23.150000000000002%,7.6%,1.9800000000000002%,0.44999999999999996%,0.13999999999999999%,0.02%
Steve Johnson,100.0%,52.690000000000005%,22.81%,7.470000000000001%,2.04%,0.43%,0.11%,0.02%
Taylor Harry Fritz,100.0%,52.96999999999999%,23.93%,7.870000000000001%,2.13%,0.47000000000000003%,0.09%,0.02%
Joao Sousa,100.0%,48.76%,20.14%,5.93%,1.4500000000000002%,0.27%,0.05%,0.02%
Mirza Basic,100.0%,45.6%,16.5%,4.33%,0.9400000000000001%,0.16999999999999998%,0.04%,0.02%
Gilles Simon,100.0%,47.010000000000005%,18.15%,4.9399999999999995%,0.95%,0.18%,0.02%,0.02%
Guillermo Garcia Lopez,100.0%,40.57%,13.05%,2.6599999999999997%,0.47000000000000003%,0.09%,0.02%,0.02%
Adrian Mannarino,100.0%,58.63%,32.37%,15.290000000000001%,4.08%,0.8999999999999999%,0.25%,0.01%
Jared Donaldson,100.0%,51.64%,21.9%,6.35%,1.6500000000000001%,0.38999999999999996%,0.1%,0.01%
Pablo Cuevas,100.0%,51.73%,23.18%,7.090000000000001%,1.67%,0.43%,0.09%,0.01%
Guido Pella,100.0%,46.910000000000004%,18.709999999999997%,4.590000000000001%,1.05%,0.18%,0.08%,0.01%
Leonardo Mayer,100.0%,53.18000000000001%,23.91%,8.62%,2.34%,0.54%,0.06999999999999999%,0.01%
Robin Haase,100.0%,48.77%,19.56%,6.03%,1.5%,0.31%,0.06%,0.01%
Benoit Paire,100.0%,48.61%,19.900000000000002%,5.75%,1.41%,0.32%,0.05%,0.01%
Pierre Hugues Herbert,100.0%,42.4%,14.38%,3.35%,0.59%,0.11%,0.04%,0.01%
Aljaz Bedene,100.0%,51.33%,22.43%,6.72%,1.6%,0.35000000000000003%,0.03%,0.01%
John Millman,100.0%,48.1%,18.96%,5.09%,1.37%,0.24%,0.03%,0.01%
Jeremy Chardy,100.0%,47.38%,19.0%,5.27%,1.13%,0.16999999999999998%,0.02%,0.01%
Mischa Zverev,100.0%,45.0%,16.470000000000002%,4.25%,0.96%,0.12%,0.02%,0.01%
Lorenzo Sonego,100.0%,46.589999999999996%,18.56%,5.26%,1.0699999999999998%,0.22%,0.11%,0.0%
Peter Gojowczyk,100.0%,53.169999999999995%,23.669999999999998%,8.6%,2.29%,0.5%,0.1%,0.0%
Gianluigi Quinzi,100.0%,39.5%,11.29%,3.0700000000000003%,0.43%,0.13999999999999999%,0.06999999999999999%,0.0%
Jiri Vesely,100.0%,51.42%,22.08%,6.6000000000000005%,1.76%,0.4%,0.06%,0.0%
Marton Fucsovics,100.0%,51.43%,21.84%,6.59%,1.66%,0.33999999999999997%,0.06%,0.0%
Alex De Minaur,100.0%,45.92%,17.98%,5.09%,0.91%,0.16%,0.06%,0.0%
Alessandro Giannessi,100.0%,36.22%,10.17%,1.3299999999999998%,0.22%,0.06%,0.06%,0.0%
Pedja Krstin,100.0%,60.58%,30.79%,12.21%,3.6799999999999997%,0.84%,0.05%,0.0%
Dennis Novikov,100.0%,36.36%,10.73%,1.91%,0.44999999999999996%,0.09%,0.05%,0.0%
Roberto Carballes Baena,100.0%,50.23%,21.61%,6.39%,1.51%,0.29%,0.04%,0.0%
Yannick Maden,100.0%,43.62%,14.81%,4.2299999999999995%,0.88%,0.08%,0.04%,0.0%
Andrey Kuznetsov,100.0%,38.04%,11.52%,2.4%,0.4%,0.08%,0.04%,0.0%
Viktor Troicki,100.0%,45.24%,16.41%,4.26%,0.89%,0.2%,0.03%,0.0%
Yuki Bhambri,100.0%,45.800000000000004%,17.43%,4.67%,1.0999999999999999%,0.16999999999999998%,0.03%,0.0%
Dusan Lajovic,100.0%,46.47%,17.77%,4.58%,1.0%,0.16%,0.03%,0.0%
Ryan Harrison,100.0%,47.02%,17.57%,4.74%,0.8999999999999999%,0.13999999999999999%,0.03%,0.0%
Jan Lennard Struff,100.0%,48.76%,19.17%,5.08%,1.09%,0.21%,0.02%,0.0%
Laslo Djere,100.0%,45.11%,16.74%,4.130000000000001%,0.8699999999999999%,0.18%,0.02%,0.0%
Marcos Baghdatis,100.0%,46.339999999999996%,17.91%,4.8500000000000005%,1.02%,0.16%,0.02%,0.0%
Marius Copil,100.0%,45.08%,16.3%,4.04%,0.83%,0.16%,0.02%,0.0%
Andreas Seppi,100.0%,43.93%,15.9%,4.24%,0.8699999999999999%,0.15%,0.02%,0.0%
Martin Klizan,100.0%,44.13%,15.58%,3.6700000000000004%,0.83%,0.12%,0.02%,0.0%
