name,128,64,32,16,8,4,2,1
Jan Lennard Struff,100.0\%,48.76\%,19.17\%,5.08\%,1.09\%,0.21\%,0.02\%,0.0\%
Laslo Djere,100.0\%,45.11\%,16.74\%,4.13\%,0.87\%,0.18\%,0.02\%,0.0\%
Marcos Baghdatis,100.0\%,46.34\%,17.91\%,4.85\%,1.02\%,0.16\%,0.02\%,0.0\%
Marius Copil,100.0\%,45.08\%,16.3\%,4.04\%,0.83\%,0.16\%,0.02\%,0.0\%
Andreas Seppi,100.0\%,43.93\%,15.9\%,4.24\%,0.87\%,0.15\%,0.02\%,0.0\%
Martin Klizan,100.0\%,44.13\%,15.58\%,3.67\%,0.83\%,0.12\%,0.02\%,0.0\%
Cameron Norrie,100.0\%,39.3\%,12.29\%,2.64\%,0.3\%,0.04\%,0.02\%,0.0\%
Tim Smyczek,100.0\%,33.4\%,9.05\%,1.4\%,0.18\%,0.02\%,0.02\%,0.0\%
Ivo Karlovic,100.0\%,45.75\%,16.81\%,4.3\%,0.84\%,0.16\%,0.01\%,0.0\%
Julien Benneteau,100.0\%,41.22\%,13.3\%,3.0\%,0.62\%,0.12\%,0.01\%,0.0\%
Marco Cecchinato,100.0\%,41.43\%,13.11\%,3.2\%,0.54\%,0.12\%,0.01\%,0.0\%
Denis Istomin,100.0\%,44.36\%,15.72\%,3.9\%,0.78\%,0.11\%,0.01\%,0.0\%
Tennys Sandgren,100.0\%,41.64\%,14.02\%,3.23\%,0.72\%,0.11\%,0.01\%,0.0\%
Vasek Pospisil,100.0\%,43.05\%,14.65\%,3.18\%,0.64\%,0.1\%,0.01\%,0.0\%
Ricardas Berankis,100.0\%,41.34\%,13.68\%,3.18\%,0.62\%,0.1\%,0.01\%,0.0\%
Cedrik Marcel Stebe,100.0\%,39.58\%,12.15\%,2.69\%,0.57\%,0.09\%,0.01\%,0.0\%
Bjorn Fratangelo,100.0\%,41.0\%,13.57\%,3.06\%,0.59\%,0.08\%,0.01\%,0.0\%
Gastao Elias,100.0\%,39.62\%,12.54\%,2.76\%,0.33\%,0.08\%,0.01\%,0.0\%
Maximilian Marterer,100.0\%,41.52\%,14.14\%,3.25\%,0.46\%,0.07\%,0.01\%,0.0\%
Taro Daniel,100.0\%,39.97\%,13.24\%,2.75\%,0.34\%,0.06\%,0.01\%,0.0\%
Nikoloz Basilashvili,100.0\%,43.58\%,15.51\%,3.5\%,0.73\%,0.04\%,0.01\%,0.0\%
Malek Jaziri,100.0\%,38.42\%,12.01\%,2.54\%,0.47\%,0.04\%,0.01\%,0.0\%
Yuichi Sugita,100.0\%,39.37\%,12.66\%,2.99\%,0.46\%,0.04\%,0.01\%,0.0\%
Mikhail Kukushkin,100.0\%,38.5\%,11.97\%,2.56\%,0.5\%,0.03\%,0.01\%,0.0\%
Florian Mayer,100.0\%,37.12\%,10.45\%,2.05\%,0.35\%,0.02\%,0.01\%,0.0\%
Kamil Majchrzak,100.0\%,53.26\%,22.05\%,6.79\%,2.0\%,0.37\%,0.0\%,0.0\%
Yasutaka Uchiyama,100.0\%,50.92\%,19.15\%,6.0\%,1.31\%,0.23\%,0.0\%,0.0\%
Ernests Gulbis,100.0\%,46.18\%,16.47\%,4.24\%,0.82\%,0.18\%,0.0\%,0.0\%
Adam Pavlasek,100.0\%,40.83\%,14.25\%,3.33\%,0.83\%,0.17\%,0.0\%,0.0\%
Tomislav Brkic,100.0\%,44.58\%,16.16\%,3.53\%,1.0\%,0.16\%,0.0\%,0.0\%
Nicolas Kicker,100.0\%,44.21\%,16.13\%,3.78\%,0.79\%,0.16\%,0.0\%,0.0\%
Andrej Martin,100.0\%,46.69\%,17.92\%,4.54\%,1.08\%,0.15\%,0.0\%,0.0\%
Ilya Ivashka,100.0\%,46.74\%,17.2\%,4.41\%,0.87\%,0.15\%,0.0\%,0.0\%
Alexey Vatutin,100.0\%,44.4\%,14.8\%,3.35\%,0.7\%,0.15\%,0.0\%,0.0\%
Alexander Bublik,100.0\%,41.36\%,14.55\%,3.64\%,0.73\%,0.14\%,0.0\%,0.0\%
Sebastian Ofner,100.0\%,41.0\%,13.62\%,2.77\%,0.73\%,0.12\%,0.0\%,0.0\%
Casper Ruud,100.0\%,43.89\%,16.11\%,4.22\%,0.7\%,0.11\%,0.0\%,0.0\%
Lloyd George Muirhead Harris,100.0\%,45.72\%,16.11\%,3.89\%,0.67\%,0.11\%,0.0\%,0.0\%
Ramkumar Ramanathan,100.0\%,41.51\%,13.71\%,2.8\%,0.54\%,0.11\%,0.0\%,0.0\%
Jerzy Janowicz,100.0\%,40.26\%,13.89\%,3.0\%,0.53\%,0.11\%,0.0\%,0.0\%
Stefano Travaglia,100.0\%,40.5\%,13.8\%,3.25\%,0.45\%,0.1\%,0.0\%,0.0\%
Jordan Thompson,100.0\%,40.95\%,13.59\%,2.87\%,0.67\%,0.09\%,0.0\%,0.0\%
Pablo Andujar,100.0\%,38.14\%,12.0\%,2.41\%,0.32\%,0.09\%,0.0\%,0.0\%
Stefano Napolitano,100.0\%,36.75\%,10.79\%,2.13\%,0.46\%,0.08\%,0.0\%,0.0\%
Yannick Hanfmann,100.0\%,45.33\%,15.67\%,4.33\%,1.4\%,0.07\%,0.0\%,0.0\%
Dennis Novak,100.0\%,35.5\%,9.07\%,1.43\%,0.29\%,0.07\%,0.0\%,0.0\%
Marc Polmans,100.0\%,21.07\%,3.79\%,0.5\%,0.14\%,0.07\%,0.0\%,0.0\%
Donald Young,100.0\%,34.13\%,8.93\%,1.13\%,0.07\%,0.07\%,0.0\%,0.0\%
Tommy Paul,100.0\%,39.87\%,12.0\%,3.19\%,0.5\%,0.06\%,0.0\%,0.0\%
Viktor Galovic,100.0\%,36.18\%,10.35\%,2.0\%,0.41\%,0.06\%,0.0\%,0.0\%
Gerald Melzer,100.0\%,37.88\%,11.54\%,2.42\%,0.4\%,0.06\%,0.0\%,0.0\%
Simone Bolelli,100.0\%,35.89\%,11.06\%,2.44\%,0.39\%,0.06\%,0.0\%,0.0\%
Evgeny Donskoy,100.0\%,35.08\%,9.75\%,1.66\%,0.3\%,0.06\%,0.0\%,0.0\%
Nikola Milojevic,100.0\%,41.37\%,13.79\%,2.89\%,0.58\%,0.05\%,0.0\%,0.0\%
Lukas Lacko,100.0\%,35.52\%,9.88\%,1.99\%,0.41\%,0.05\%,0.0\%,0.0\%
Darian King,100.0\%,34.95\%,9.95\%,1.74\%,0.37\%,0.05\%,0.0\%,0.0\%
Joao Domingues,100.0\%,32.09\%,8.41\%,0.95\%,0.18\%,0.05\%,0.0\%,0.0\%
Rogerio Dutra Silva,100.0\%,32.77\%,7.91\%,1.55\%,0.14\%,0.05\%,0.0\%,0.0\%
Roberto Quiroz,100.0\%,31.14\%,7.76\%,1.29\%,0.1\%,0.05\%,0.0\%,0.0\%
Mikhail Youzhny,100.0\%,38.45\%,11.68\%,2.64\%,0.47\%,0.04\%,0.0\%,0.0\%
Marcel Granollers,100.0\%,37.46\%,10.73\%,2.12\%,0.46\%,0.04\%,0.0\%,0.0\%
Radu Albot,100.0\%,34.14\%,9.27\%,1.7\%,0.31\%,0.04\%,0.0\%,0.0\%
Thanasi Kokkinakis,100.0\%,39.46\%,12.61\%,2.93\%,0.29\%,0.04\%,0.0\%,0.0\%
Ruben Bemelmans,100.0\%,34.49\%,9.36\%,1.45\%,0.24\%,0.04\%,0.0\%,0.0\%
Sergiy Stakhovsky,100.0\%,36.3\%,10.3\%,1.78\%,0.22\%,0.04\%,0.0\%,0.0\%
Calvin Hemery,100.0\%,35.96\%,10.12\%,1.42\%,0.12\%,0.04\%,0.0\%,0.0\%
Guido Andreozzi,100.0\%,40.43\%,13.4\%,2.67\%,0.42\%,0.03\%,0.0\%,0.0\%
Yen Hsun Lu,100.0\%,38.2\%,11.28\%,2.22\%,0.41\%,0.03\%,0.0\%,0.0\%
Quentin Halys,100.0\%,38.31\%,11.41\%,2.28\%,0.24\%,0.03\%,0.0\%,0.0\%
Horacio Zeballos,100.0\%,37.39\%,11.02\%,1.87\%,0.22\%,0.03\%,0.0\%,0.0\%
Matthew Ebden,100.0\%,34.73\%,9.68\%,1.49\%,0.21\%,0.03\%,0.0\%,0.0\%
Ernesto Escobedo,100.0\%,35.47\%,10.3\%,1.67\%,0.2\%,0.03\%,0.0\%,0.0\%
Denis Kudla,100.0\%,35.3\%,9.94\%,1.62\%,0.29\%,0.02\%,0.0\%,0.0\%
Dudi Sela,100.0\%,36.45\%,10.61\%,2.1\%,0.28\%,0.02\%,0.0\%,0.0\%
Matteo Berrettini,100.0\%,37.47\%,10.87\%,1.87\%,0.19\%,0.02\%,0.0\%,0.0\%
Thomas Fabbiano,100.0\%,30.98\%,7.26\%,1.24\%,0.17\%,0.02\%,0.0\%,0.0\%
Mackenzie Mcdonald,100.0\%,32.6\%,8.17\%,1.58\%,0.26\%,0.01\%,0.0\%,0.0\%
Reilly Opelka,100.0\%,42.61\%,13.57\%,2.48\%,0.57\%,0.0\%,0.0\%,0.0\%
Thiago Monteiro,100.0\%,40.04\%,13.3\%,2.96\%,0.39\%,0.0\%,0.0\%,0.0\%
Nicolas Mahut,100.0\%,34.89\%,9.78\%,2.06\%,0.34\%,0.0\%,0.0\%,0.0\%
Tommy Robredo,100.0\%,41.94\%,11.67\%,2.89\%,0.33\%,0.0\%,0.0\%,0.0\%
Elias Ymer,100.0\%,35.72\%,10.48\%,1.96\%,0.32\%,0.0\%,0.0\%,0.0\%
Jozef Kovalik,100.0\%,37.92\%,11.15\%,1.92\%,0.31\%,0.0\%,0.0\%,0.0\%
Paolo Lorenzi,100.0\%,36.37\%,10.77\%,1.92\%,0.29\%,0.0\%,0.0\%,0.0\%
Matthias Bachinger,100.0\%,32.82\%,9.12\%,1.59\%,0.29\%,0.0\%,0.0\%,0.0\%
Corentin Moutet,100.0\%,34.96\%,9.72\%,1.88\%,0.28\%,0.0\%,0.0\%,0.0\%
Michael Mmoh,100.0\%,34.31\%,8.13\%,1.06\%,0.25\%,0.0\%,0.0\%,0.0\%
Facundo Bagnis,100.0\%,28.29\%,7.76\%,1.0\%,0.24\%,0.0\%,0.0\%,0.0\%
Norbert Gombos,100.0\%,26.14\%,6.32\%,1.0\%,0.23\%,0.0\%,0.0\%,0.0\%
Carlos Taberner,100.0\%,29.0\%,6.07\%,1.29\%,0.21\%,0.0\%,0.0\%,0.0\%
Mohamed Safwat,100.0\%,32.29\%,8.79\%,1.07\%,0.21\%,0.0\%,0.0\%,0.0\%
Bernard Tomic,100.0\%,38.8\%,10.73\%,1.67\%,0.2\%,0.0\%,0.0\%,0.0\%
Jurgen Zopp,100.0\%,32.0\%,7.95\%,1.33\%,0.19\%,0.0\%,0.0\%,0.0\%
Nicola Kuhn,100.0\%,34.0\%,9.27\%,1.55\%,0.18\%,0.0\%,0.0\%,0.0\%
Daniel Gimeno Traver,100.0\%,29.11\%,6.84\%,0.95\%,0.16\%,0.0\%,0.0\%,0.0\%
Evan King,100.0\%,30.56\%,7.94\%,1.38\%,0.13\%,0.0\%,0.0\%,0.0\%
Dustin Brown,100.0\%,29.44\%,8.13\%,0.94\%,0.13\%,0.0\%,0.0\%,0.0\%
Adrian Menendez Maceiras,100.0\%,29.71\%,6.18\%,1.0\%,0.12\%,0.0\%,0.0\%,0.0\%
Christopher Eubanks,100.0\%,29.18\%,5.88\%,0.82\%,0.12\%,0.0\%,0.0\%,0.0\%
Hubert Hurkacz,100.0\%,28.11\%,6.79\%,0.68\%,0.11\%,0.0\%,0.0\%,0.0\%
Alex Bolt,100.0\%,29.76\%,6.62\%,1.05\%,0.1\%,0.0\%,0.0\%,0.0\%
Carlos Berlocq,100.0\%,33.35\%,9.43\%,1.52\%,0.09\%,0.0\%,0.0\%,0.0\%
Tallon Griekspoor,100.0\%,22.5\%,4.5\%,0.59\%,0.09\%,0.0\%,0.0\%,0.0\%
Go Soeda,100.0\%,24.64\%,4.36\%,0.45\%,0.09\%,0.0\%,0.0\%,0.0\%
Tobias Kamke,100.0\%,27.54\%,5.62\%,1.0\%,0.08\%,0.0\%,0.0\%,0.0\%
Blaz Rola,100.0\%,30.17\%,6.83\%,0.92\%,0.08\%,0.0\%,0.0\%,0.0\%
Peter Polansky,100.0\%,30.0\%,6.58\%,0.81\%,0.08\%,0.0\%,0.0\%,0.0\%
Bradley Klahn,100.0\%,26.08\%,4.64\%,0.48\%,0.08\%,0.0\%,0.0\%,0.0\%
Liam Broady,100.0\%,34.8\%,8.4\%,1.6\%,0.07\%,0.0\%,0.0\%,0.0\%
Felix Auger Aliassime,100.0\%,30.89\%,7.81\%,1.52\%,0.07\%,0.0\%,0.0\%,0.0\%
Steve Darcis,100.0\%,29.93\%,6.64\%,1.21\%,0.07\%,0.0\%,0.0\%,0.0\%
Akira Santillan,100.0\%,31.0\%,6.67\%,1.07\%,0.07\%,0.0\%,0.0\%,0.0\%
Matteo Donati,100.0\%,33.67\%,8.4\%,1.0\%,0.07\%,0.0\%,0.0\%,0.0\%
Blaz Kavcic,100.0\%,25.36\%,5.36\%,0.79\%,0.07\%,0.0\%,0.0\%,0.0\%
Kenny De Schepper,100.0\%,27.4\%,6.2\%,0.6\%,0.07\%,0.0\%,0.0\%,0.0\%
Stefan Kozlov,100.0\%,25.12\%,5.87\%,0.94\%,0.06\%,0.0\%,0.0\%,0.0\%
Kevin King,100.0\%,19.89\%,2.83\%,0.28\%,0.06\%,0.0\%,0.0\%,0.0\%
Gleb Sakharov,100.0\%,23.56\%,3.87\%,0.25\%,0.06\%,0.0\%,0.0\%,0.0\%
Ricardo Ojeda Lara,100.0\%,32.55\%,8.1\%,1.15\%,0.05\%,0.0\%,0.0\%,0.0\%
Marco Trungelliti,100.0\%,28.05\%,7.14\%,1.09\%,0.05\%,0.0\%,0.0\%,0.0\%
Mitchell Krueger,100.0\%,29.55\%,6.77\%,1.09\%,0.05\%,0.0\%,0.0\%,0.0\%
Jason Kubler,100.0\%,31.57\%,7.57\%,1.05\%,0.05\%,0.0\%,0.0\%,0.0\%
Brayden Schnur,100.0\%,29.84\%,5.63\%,0.84\%,0.05\%,0.0\%,0.0\%,0.0\%
Luca Vanni,100.0\%,26.89\%,5.47\%,0.58\%,0.05\%,0.0\%,0.0\%,0.0\%
Attila Balazs,100.0\%,26.73\%,4.82\%,0.45\%,0.05\%,0.0\%,0.0\%,0.0\%
Vincent Millot,100.0\%,24.36\%,4.68\%,0.45\%,0.05\%,0.0\%,0.0\%,0.0\%
John Patrick Smith,100.0\%,25.88\%,4.81\%,0.5\%,0.04\%,0.0\%,0.0\%,0.0\%
Guilherme Clezar,100.0\%,23.96\%,3.85\%,0.35\%,0.04\%,0.0\%,0.0\%,0.0\%
Ze Zhang,100.0\%,34.67\%,9.56\%,1.44\%,0.0\%,0.0\%,0.0\%,0.0\%
Renzo Olivo,100.0\%,31.62\%,8.23\%,1.31\%,0.0\%,0.0\%,0.0\%,0.0\%
Noah Rubin,100.0\%,30.83\%,7.08\%,1.08\%,0.0\%,0.0\%,0.0\%,0.0\%
Jaume Munar,100.0\%,30.09\%,6.86\%,0.82\%,0.0\%,0.0\%,0.0\%,0.0\%
Tatsuma Ito,100.0\%,28.68\%,6.96\%,0.71\%,0.0\%,0.0\%,0.0\%,0.0\%
Filip Peliwo,100.0\%,28.56\%,6.0\%,0.63\%,0.0\%,0.0\%,0.0\%,0.0\%
Stephane Robert,100.0\%,25.22\%,4.52\%,0.57\%,0.0\%,0.0\%,0.0\%,0.0\%
Miomir Kecmanovic,100.0\%,21.43\%,3.71\%,0.36\%,0.0\%,0.0\%,0.0\%,0.0\%
Aleksandr Nedovyesov,100.0\%,20.64\%,3.43\%,0.36\%,0.0\%,0.0\%,0.0\%,0.0\%
Arthur De Greef,100.0\%,21.14\%,3.21\%,0.36\%,0.0\%,0.0\%,0.0\%,0.0\%
Tsung Hua Yang,100.0\%,21.38\%,3.69\%,0.31\%,0.0\%,0.0\%,0.0\%,0.0\%
Nino Serdarusic,100.0\%,19.53\%,2.47\%,0.29\%,0.0\%,0.0\%,0.0\%,0.0\%
Juan Ignacio Londero,100.0\%,22.15\%,3.85\%,0.2\%,0.0\%,0.0\%,0.0\%,0.0\%
Salvatore Caruso,100.0\%,14.83\%,1.75\%,0.17\%,0.0\%,0.0\%,0.0\%,0.0\%
Jason Jung,100.0\%,15.21\%,1.67\%,0.17\%,0.0\%,0.0\%,0.0\%,0.0\%
Sumit Nagal,100.0\%,17.8\%,1.95\%,0.15\%,0.0\%,0.0\%,0.0\%,0.0\%
Pedro Martinez Portero,100.0\%,17.23\%,1.69\%,0.15\%,0.0\%,0.0\%,0.0\%,0.0\%
Gregoire Barrere,100.0\%,15.18\%,1.71\%,0.12\%,0.0\%,0.0\%,0.0\%,0.0\%
Benjamin Bonzi,100.0\%,5.33\%,0.17\%,0.08\%,0.0\%,0.0\%,0.0\%,0.0\%
Enrique Lopez Perez,100.0\%,11.89\%,0.72\%,0.06\%,0.0\%,0.0\%,0.0\%,0.0\%
Uladzimir Ignatik,100.0\%,17.83\%,1.75\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
Hugo Dellien,100.0\%,12.77\%,1.09\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
Dominik Koepfer,100.0\%,7.0\%,1.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
Christian Harrison,100.0\%,15.29\%,0.95\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
Constant Lestienne,100.0\%,10.32\%,0.58\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%
