2001-741,102257,27.780971937,42,860,,WC
2001-741,103709,20.3531827515,100,422,,Q
2001-741,102783,25.1471594798,52,736,,
2001-741,101890,30.2094455852,1014,5,,Q
2001-741,103157,23.241615332,197,191,,Q
2001-741,104014,19.0198494182,325,91,,WC
2001-741,103114,23.4277891855,147,269,,LL
2001-741,103294,22.507871321,80,528,,
2001-741,102563,26.2368240931,16,1530,3,
2001-741,102607,25.9958932238,62,662,,
2001-741,102911,24.4380561259,93,463,,
2001-741,102227,28.0410677618,123,333,,
2001-741,101885,30.2532511978,48,808,,
2001-741,103344,22.250513347,73,593,,
2001-741,102035,29.2375085558,37,910,8,
2001-741,103252,22.8281998631,35,918,6,
2001-741,103356,22.1984941821,78,548,,
2001-741,101150,36.0027378508,70,600,,
2001-741,103182,23.1457905544,90,471,,
2001-741,101820,30.6119096509,77,575,,
2001-741,104053,18.8008213552,40,888,,
2001-741,102184,28.2765229295,46,815,4,
2001-741,101647,31.6988364134,60,672,,
2001-741,102703,25.4565366188,64,641,,
2001-741,103248,22.8692676249,38,908,7,
2001-741,101543,32.5749486653,172,224,,
2001-741,102965,24.2436687201,189,200,,WC
2001-741,102443,26.8145106092,248,133,,Q
2001-741,104022,18.9815195072,85,502,,
2001-741,102905,24.4572210815,84,503,,
2001-741,101965,29.7577002053,17,1465,2,
2001-338,102318,26.9486652977,27,1105,,
2001-338,102796,24.6105407255,4,3110,1,
2001-338,101543,32.1341546886,112,359,,Q
2001-338,101889,29.7713894593,188,204,,WC
2001-338,102845,24.3668720055,40,870,,
2001-338,102567,25.7741273101,118,338,,Q
2001-338,102539,25.8754277892,57,706,,
2001-338,103096,23.06091718,18,1360,5,
2001-338,101611,31.5674195756,16,1485,4,
2001-338,102035,28.7967145791,44,845,,
2001-338,102401,26.5954825462,263,126,,Q
2001-338,101727,30.765229295,63,641,,
2001-338,101792,30.4038329911,66,612,,
2001-338,102783,24.7063655031,60,675,,
2001-338,101774,30.5051334702,54,740,,
2001-338,103163,22.7679671458,20,1245,7,
2001-338,101735,30.6995208761,88,497,,WC
2001-338,103206,22.6146475017,19,1325,6,
2001-338,103018,23.5099247091,43,845,,
2001-338,103294,22.0670773443,76,550,,Q
2001-338,103166,22.7570157426,39,940,,
2001-338,101820,30.1711156742,29,1090,,
2001-338,101965,29.3169062286,13,1770,3,
2001-338,103819,19.4195756331,30,1080,,
2001-338,101962,29.325119781,31,1055,8,
2001-338,101150,35.5619438741,41,864,,
2001-338,102184,27.8357289528,38,945,,
2001-338,102148,28.0821355236,46,815,,
2001-338,102021,28.8788501027,32,1040,,
2001-338,102776,24.7255304586,48,775,,
2001-338,101885,29.8124572211,84,513,,WC
2001-338,103720,19.871321013,7,2560,2,
2001-360,102950,24.0876112252,32,970,1,
2001-360,103151,23.1101984942,76,550,,
2001-360,102869,24.501026694,78,524,,LL
2001-360,103454,21.4976043806,64,651,,
2001-360,103457,21.4702258727,154,260,,LL
2001-360,102223,27.8767967146,72,575,,
2001-360,103068,23.4962354552,553,31,,WC
2001-360,101962,29.5742642026,56,705,6,
2001-360,102783,24.9555099247,48,770,3,
2001-360,102227,27.8494182067,96,419,,
2001-360,102179,28.1204654346,88,440,,
2001-360,102153,28.3066392882,116,360,,
2001-360,102520,26.1957563313,442,52,,Q
2001-360,103990,18.9404517454,114,363,,
2001-360,102788,24.9144421629,162,241,,Q
2001-360,103181,22.9596167009,90,437,,
2001-360,103324,22.1574264203,59,675,7,
2001-360,102533,26.1464750171,99,408,,
2001-360,103029,23.6988364134,433,54,,WC
2001-360,103084,23.370294319,128,306,,Q
2001-360,102652,25.5989048597,107,376,,
2001-360,102259,27.5811088296,66,648,,
2001-360,103714,20.1341546886,51,760,4,
2001-360,102247,27.6933607118,110,369,,
2001-360,102911,24.2464065708,91,435,,
2001-360,102231,27.819301848,54,735,5,
2001-360,103082,23.3867214237,115,361,,
2001-360,102722,25.1745379877,140,276,,Q
2001-360,103007,23.8138261465,347,82,,WC
2001-360,101843,30.2286105407,71,576,,
2001-360,103264,22.5544147844,47,780,2,
2001-360,103694,20.2217659138,74,570,,
2001-404,102821,24.7063655031,125,320,,Q
2001-404,102856,24.501026694,1,4425,1,
2001-404,101965,29.4893908282,17,1570,,
2001-404,103758,19.8822724162,197,195,,WC
2001-404,102162,28.1889117043,89,450,,WC
2001-404,102950,24.0109514031,37,940,,
2001-404,103103,23.1841204654,14,1830,14,
2001-404,102998,23.7727583847,19,1325,,
2001-404,101820,30.3436002738,61,670,,
2001-404,102358,26.9979466119,9,2090,9,
2001-404,102231,27.742642026,56,731,,
2001-404,101964,29.4948665298,126,319,,WC
2001-404,102905,24.1889117043,83,470,,
2001-404,101532,32.3805612594,31,1020,,
2001-404,102701,25.2101300479,25,1165,,
2001-404,102338,27.06091718,6,2485,7,
2001-404,102184,28.0082135524,32,1010,,
2001-404,101948,29.582477755,3,3080,3,
2001-404,102247,27.6167008898,96,419,,Q
2001-404,102148,28.2546201232,49,790,,
2001-404,102021,29.0513347023,33,995,,
2001-404,102845,24.5393566051,24,1190,,
2001-404,101647,31.4305270363,47,795,,
2001-404,103206,22.7871321013,16,1760,16,
2001-404,102257,27.5126625599,41,855,,
2001-404,102158,28.2026009582,11,1985,11,
2001-404,103166,22.9295003422,28,1108,,
2001-404,103324,22.0807665982,63,660,,Q
2001-404,103428,21.5331964408,76,552,,Q
2001-404,102854,24.5065023956,29,1083,,
2001-404,103292,22.2559890486,30,1055,,
2001-404,102374,26.9185489391,7,2425,8,
2001-404,102796,24.7830253251,5,2755,5,
2001-404,102839,24.5776865161,27,1130,,
2001-404,101962,29.4976043806,58,695,,
2001-404,102035,28.9691991786,51,790,,
2001-404,103018,23.6824093087,38,920,,
2001-404,101611,31.7399041752,20,1290,,
2001-404,102783,24.8788501027,52,770,,
2001-404,102450,26.5133470226,10,2010,10,
2001-404,102882,24.3422313484,15,1785,15,
2001-404,103888,19.2553045859,206,185,,WC
2001-404,103819,19.5920602327,21,1250,,
2001-404,103017,23.6851471595,43,810,,
2001-404,102106,28.5448323066,55,751,,Q
2001-404,103163,22.9404517454,22,1245,,
2001-404,102271,27.394934976,42,850,,
2001-404,101736,30.8692676249,4,2870,4,
2001-404,102610,25.7138945927,34,955,,
2001-404,103720,20.0438056126,8,2385,6,
2001-404,102318,27.1211498973,23,1235,,
2001-404,103387,21.7440109514,121,332,,Q
2001-404,102644,25.5550992471,18,1498,,
2001-404,102539,26.0479123888,54,751,,
2001-404,103507,21.0787132101,13,1870,12,
2001-404,103454,21.4209445585,66,631,,Q
2001-404,102776,24.8980150582,40,860,,
2001-404,103096,23.2334017796,12,1920,13,
2001-404,101543,32.3066392882,116,350,,Q
2001-404,101150,35.7344284736,44,805,,
2001-404,103714,20.0574948665,46,800,,
2001-404,102765,24.93908282,36,945,,
2001-404,103498,21.1225188227,2,4300,2,
2001-404,102563,25.9685147159,26,1140,,
2001-407,103498,21.0650239562,1,4265,1,
2001-407,103018,23.6249144422,41,865,,
2001-407,101611,31.6824093087,19,1345,,
2001-407,103714,20.0,38,915,,
2001-407,102539,25.9904175222,54,766,,
2001-407,103166,22.8720054757,34,981,,
2001-407,102563,25.9110198494,30,1020,,
2001-407,103103,23.1266255989,14,1755,6,
2001-407,102533,26.0123203285,100,391,,Q
2001-407,102450,26.4558521561,10,2020,4,
2001-407,102035,28.9117043121,47,815,,
2001-407,102765,24.8815879535,60,725,,Q
2001-407,102148,28.1971252567,48,810,,
2001-407,103171,22.855578371,102,388,,WC
2001-407,103507,21.0212183436,15,1645,8,
