player0,rank0,player1,rank1,proba0,proba1
100644.0,3.0,103333.0,92.0,0.8670456085077078,0.1329543914922921
106298.0,16.0,104999.0,64.0,0.712574486191243,0.287425513808757
106298.0,16.0,105023.0,15.0,0.4995996893682876,0.5004003106317124
106298.0,16.0,105051.0,73.0,0.7847078661063629,0.21529213389363716
106298.0,16.0,105053.0,315.0,0.8320989126817895,0.16790108731821046
106298.0,16.0,105062.0,83.0,0.7371052868388723,0.2628947131611276
106298.0,16.0,105064.0,278.0,0.7728261102766075,0.22717388972339247
106298.0,16.0,105074.0,110.0,0.838858090555641,0.16114190944435902
106298.0,16.0,105077.0,36.0,0.6497429503101386,0.3502570496898613
106298.0,16.0,105132.0,136.0,0.7954546826118265,0.20454531738817347
106298.0,16.0,105138.0,13.0,0.46947069278008413,0.5305293072199159
104919.0,42.0,103970.0,41.0,0.4952332148415043,0.5047667851584957
104919.0,42.0,104022.0,98.0,0.7231760513413579,0.2768239486586422
104919.0,42.0,104180.0,34.0,0.5168691795559317,0.48313082044406835
104919.0,42.0,104198.0,67.0,0.6370606169520798,0.3629393830479202
104919.0,42.0,104252.0,90.0,0.7504711877523822,0.24952881224761786
104919.0,42.0,104259.0,24.0,0.4491150588877012,0.5508849411122988
104919.0,42.0,104269.0,35.0,0.49036266125099404,0.509637338749006
104919.0,42.0,104291.0,63.0,0.6468429372306345,0.35315706276936554
104919.0,42.0,104297.0,134.0,0.7144299241556882,0.28557007584431177
104919.0,42.0,104312.0,50.0,0.6076632215894948,0.39233677841050524
104919.0,42.0,104468.0,65.0,0.5762028679261528,0.4237971320738472
104919.0,42.0,104527.0,30.0,0.415663952560384,0.584336047439616
104919.0,42.0,104534.0,104.0,0.6824097505502927,0.31759024944970726
104919.0,42.0,104545.0,10.0,0.3592927083145542,0.6407072916854458
104919.0,42.0,104547.0,103.0,0.679787964879287,0.320212035120713
104919.0,42.0,104571.0,84.0,0.5895062693531392,0.41049373064686084
104919.0,42.0,104607.0,20.0,0.3945963877076353,0.6054036122923647
106298.0,16.0,104926.0,18.0,0.5639100830737602,0.4360899169262398
106298.0,16.0,104925.0,22.0,0.31352900624570645,0.6864709937542935
106298.0,16.0,104919.0,42.0,0.5934715878956209,0.40652841210437907
106298.0,16.0,104898.0,44.0,0.6554855000568682,0.3445144999431317
106298.0,16.0,103970.0,41.0,0.5803587425481752,0.4196412574518248
106298.0,16.0,104022.0,98.0,0.7889111778724651,0.21108882212753485
106298.0,16.0,104180.0,34.0,0.6098560784402147,0.3901439215597852
106298.0,16.0,104198.0,67.0,0.7143173900259838,0.2856826099740161
106298.0,16.0,104252.0,90.0,0.8181418106043055,0.18185818939569448
106298.0,16.0,104259.0,24.0,0.5450613896545329,0.4549386103454671
106298.0,16.0,104269.0,35.0,0.5881619068160029,0.41183809318399706
106298.0,16.0,104291.0,63.0,0.7221837392365895,0.2778162607634105
106298.0,16.0,104297.0,134.0,0.7950562038842286,0.20494379611577138
106298.0,16.0,104312.0,50.0,0.6630841048460643,0.3369158951539358
106298.0,16.0,104468.0,65.0,0.6649706659434849,0.3350293340565151
106298.0,16.0,104527.0,30.0,0.5061656790924498,0.49383432090755025
106298.0,16.0,104534.0,104.0,0.7562152141460974,0.24378478585390267
104919.0,42.0,104620.0,129.0,0.6568821091943828,0.34311789080561717
106298.0,16.0,104545.0,10.0,0.4364965193574526,0.5635034806425474
106298.0,16.0,104571.0,84.0,0.6756531364756,0.32434686352439995
106298.0,16.0,104607.0,20.0,0.4857857081929574,0.5142142918070426
106298.0,16.0,104620.0,129.0,0.7380886347529141,0.26191136524708586
106298.0,16.0,104655.0,75.0,0.5838069382961586,0.41619306170384135
106298.0,16.0,104660.0,127.0,0.7678779467751743,0.2321220532248257
106298.0,16.0,104665.0,128.0,0.716645640606422,0.283354359393578
106298.0,16.0,104731.0,7.0,0.38604284398455313,0.6139571560154469
106298.0,16.0,104745.0,1.0,0.09247034495080242,0.9075296550491976
106298.0,16.0,104755.0,32.0,0.4826913074104775,0.5173086925895225
106298.0,16.0,104792.0,37.0,0.5407603276062276,0.4592396723937724
106298.0,16.0,104797.0,100.0,0.7095752521775234,0.2904247478224767
106298.0,16.0,104871.0,86.0,0.6684020953668516,0.3315979046331484
106298.0,16.0,104890.0,412.0,0.9249929356288826,0.0750070643711174
106298.0,16.0,104547.0,103.0,0.7536288055397551,0.24637119446024494
104919.0,42.0,104655.0,75.0,0.5084668604144686,0.49153313958553135
104919.0,42.0,104660.0,127.0,0.69613019199055,0.30386980800944996
104919.0,42.0,104665.0,128.0,0.6389962591978087,0.3610037408021913
104925.0,22.0,104655.0,75.0,0.7593493115216587,0.2406506884783412
104925.0,22.0,104660.0,127.0,0.8773244461932005,0.12267555380679951
104925.0,22.0,104665.0,128.0,0.846796044497947,0.15320395550205299
104925.0,22.0,104731.0,7.0,0.5765404785089225,0.4234595214910775
104925.0,22.0,104745.0,1.0,0.1781655566310696,0.8218344433689304
104925.0,22.0,104755.0,32.0,0.6812064470690415,0.3187935529309585
104925.0,22.0,104792.0,37.0,0.7049212844132435,0.2950787155867564
104925.0,22.0,104797.0,100.0,0.842612075840113,0.157387924159887
104925.0,22.0,104871.0,86.0,0.8108517444108512,0.18914825558914888
104925.0,22.0,104890.0,412.0,0.962936246220794,0.03706375377920597
104925.0,22.0,104898.0,44.0,0.806077514693995,0.19392248530600495
104925.0,22.0,104919.0,42.0,0.7567287183544027,0.2432712816455973
104926.0,18.0,100644.0,3.0,0.19160328046600195,0.808396719533998
