name,128,64,32,16,8,4,2,1,reached
D. Sebastian Schwartzman,100.0%,73.26%,51.81%,34.35%,18.47%,6.15%,1.6199999999999999%,0.38%,8
R. Gasquet,100.0%,74.53999999999999%,53.769999999999996%,31.19%,11.61%,3.5999999999999996%,1.02%,0.29%,32
S. Wawrinka,100.0%,74.24%,53.1%,31.680000000000003%,11.64%,3.5000000000000004%,0.9400000000000001%,0.25%,128
P. Kohlschreiber,100.0%,71.41%,49.0%,30.43%,11.14%,3.1300000000000003%,0.8099999999999999%,0.21%,128
K. Edmund,100.0%,70.89999999999999%,48.11%,30.240000000000002%,12.85%,3.7699999999999996%,0.9299999999999999%,0.2%,32
F. Fognini,100.0%,69.21000000000001%,45.89%,28.110000000000003%,11.17%,3.04%,0.75%,0.19%,16
G. Monfils,100.0%,71.77%,49.66%,23.02%,7.85%,2.17%,0.5599999999999999%,0.16999999999999998%,32
D. Shapovalov,100.0%,67.84%,43.87%,24.6%,7.84%,1.94%,0.44999999999999996%,0.1%,64
F. Verdasco,100.0%,67.84%,44.13%,19.93%,5.87%,1.4200000000000002%,0.32%,0.06999999999999999%,16
P. Gojowczyk,100.0%,60.809999999999995%,31.569999999999997%,12.91%,4.1000000000000005%,1.09%,0.27%,0.06%,128
G. Muller,100.0%,65.99000000000001%,41.38%,18.5%,5.29%,1.22%,0.25%,0.06%,128
B. Coric,100.0%,59.37%,29.439999999999998%,12.34%,3.7699999999999996%,0.91%,0.22%,0.06%,32
D. Dzumhur,100.0%,64.86%,39.96%,20.34%,5.79%,1.24%,0.25%,0.05%,32
K. Khachanov,100.0%,67.21000000000001%,42.8%,17.06%,4.859999999999999%,1.15%,0.25%,0.05%,16
D. Ferrer,100.0%,58.41%,28.449999999999996%,11.379999999999999%,3.42%,0.8200000000000001%,0.19%,0.05%,128
S. Tsitsipas,100.0%,57.32000000000001%,27.1%,11.04%,3.2300000000000004%,0.7799999999999999%,0.15%,0.05%,64
S. Johnson,100.0%,57.52%,27.42%,9.950000000000001%,2.8000000000000003%,0.6799999999999999%,0.15%,0.04%,32
A. Mannarino,100.0%,62.45%,36.66%,17.97%,4.82%,1.04%,0.19%,0.03%,128
L. Mayer,100.0%,58.36%,28.32%,11.1%,3.35%,0.8%,0.19%,0.03%,128
F. Lopez,100.0%,63.18%,37.519999999999996%,16.16%,4.26%,0.91%,0.18%,0.03%,128
P. Cuevas,100.0%,58.199999999999996%,28.33%,9.78%,2.73%,0.69%,0.15%,0.03%,64
M. Fucsovics,100.0%,56.410000000000004%,26.05%,9.25%,2.56%,0.58%,0.12%,0.03%,64
A. Ramos,100.0%,63.449999999999996%,38.190000000000005%,14.74%,3.7800000000000002%,0.77%,0.13999999999999999%,0.02%,32
A. Bedene,100.0%,55.95%,25.929999999999996%,8.44%,2.2800000000000002%,0.54%,0.11%,0.02%,128
J. Sousa,100.0%,53.89000000000001%,23.54%,7.580000000000001%,2.0%,0.41000000000000003%,0.08%,0.02%,128
G. Pella,100.0%,52.99%,22.79%,6.65%,1.63%,0.33999999999999997%,0.06%,0.02%,64
F. Delbonis,100.0%,53.190000000000005%,22.770000000000003%,6.800000000000001%,1.63%,0.3%,0.06%,0.02%,64
N. Jarry,100.0%,55.04%,24.87%,8.03%,2.08%,0.45999999999999996%,0.09%,0.01%,128
B. Paire,100.0%,53.03%,22.91%,7.06%,1.7399999999999998%,0.36%,0.06%,0.01%,64
R. Haase,100.0%,52.2%,22.23%,7.199999999999999%,1.7500000000000002%,0.31%,0.06%,0.01%,128
T. Harry Fritz,100.0%,52.349999999999994%,22.37%,6.67%,1.6500000000000001%,0.31%,0.06%,0.01%,128
J. Millman,100.0%,51.67%,21.4%,6.23%,1.4500000000000002%,0.3%,0.06%,0.01%,128
I. Karlovic,100.0%,51.38%,21.23%,6.08%,1.41%,0.29%,0.06%,0.01%,128
D. Lajovic,100.0%,52.73%,22.5%,6.81%,1.6400000000000001%,0.32%,0.05%,0.01%,64
F. Tiafoe,100.0%,52.76%,22.56%,6.81%,1.6099999999999999%,0.27999999999999997%,0.05%,0.01%,128
R. Harrison,100.0%,50.64999999999999%,20.57%,5.779999999999999%,1.31%,0.25%,0.05%,0.01%,128
G. Simon,100.0%,51.64%,21.490000000000002%,6.13%,1.37%,0.26%,0.04%,0.01%,32
