name,128,64,32,16,8,4,2,1,reached
M. Ebden,100.0\%,38.13\%,10.83\%,2.0\%,0.32\%,0.03\%,0.0\%,0.0\%,128
G. Andreozzi,100.0\%,39.2\%,11.51\%,2.21\%,0.31\%,0.03\%,0.0\%,0.0\%,64
N. Mahut,100.0\%,39.31\%,11.47\%,2.11\%,0.3\%,0.03\%,0.0\%,0.0\%,128
M. Cecchinato,100.0\%,38.82\%,11.07\%,2.01\%,0.3\%,0.03\%,0.0\%,0.0\%,4
M. Safwat,100.0\%,37.32\%,10.25\%,1.85\%,0.25\%,0.03\%,0.0\%,0.0\%,128
R. Dutra Silva,100.0\%,37.19\%,10.12\%,1.75\%,0.24\%,0.03\%,0.0\%,0.0\%,128
M. Youzhny,100.0\%,37.64\%,10.53\%,1.97\%,0.26\%,0.02\%,0.0\%,0.0\%,128
E. Donskoy,100.0\%,37.81\%,10.62\%,1.84\%,0.26\%,0.02\%,0.0\%,0.0\%,128
J. Kovalik,100.0\%,35.82\%,9.19\%,1.54\%,0.2\%,0.02\%,0.0\%,0.0\%,128
F. Mayer,100.0\%,34.6\%,8.64\%,1.38\%,0.19\%,0.02\%,0.0\%,0.0\%,128
E. Ymer,100.0\%,34.79\%,8.8\%,1.44\%,0.17\%,0.02\%,0.0\%,0.0\%,64
M. Berrettini,100.0\%,34.75\%,8.78\%,1.31\%,0.18\%,0.01\%,0.0\%,0.0\%,32
R. Bemelmans,100.0\%,32.34\%,7.43\%,1.06\%,0.12\%,0.01\%,0.0\%,0.0\%,64
S. Giraldo,100.0\%,32.26\%,7.35\%,1.07\%,0.1\%,0.01\%,0.0\%,0.0\%,64
R. Albot,100.0\%,30.88\%,6.8\%,0.91\%,0.1\%,0.01\%,0.0\%,0.0\%,64
N. Rubin,100.0\%,30.35\%,6.58\%,0.82\%,0.1\%,0.01\%,0.0\%,0.0\%,128
Y. Nishioka,100.0\%,30.96\%,6.72\%,0.86\%,0.07\%,0.01\%,0.0\%,0.0\%,128
P. Polansky,100.0\%,28.88\%,5.77\%,0.78\%,0.07\%,0.01\%,0.0\%,0.0\%,128
T. Fabbiano,100.0\%,28.71\%,5.78\%,0.69\%,0.07\%,0.01\%,0.0\%,0.0\%,64
C. Hemery,100.0\%,26.67\%,4.85\%,0.51\%,0.05\%,0.01\%,0.0\%,0.0\%,128
C. Moutet,100.0\%,32.05\%,7.32\%,1.01\%,0.09\%,0.0\%,0.0\%,0.0\%,64
M. Trungelliti,100.0\%,30.4\%,6.48\%,0.86\%,0.09\%,0.0\%,0.0\%,0.0\%,64
H. Hurkacz,100.0\%,27.69\%,5.14\%,0.59\%,0.05\%,0.0\%,0.0\%,0.0\%,64
J. Munar,100.0\%,26.42\%,4.72\%,0.54\%,0.04\%,0.0\%,0.0\%,0.0\%,64
C. Taberner,100.0\%,25.42\%,4.41\%,0.5\%,0.04\%,0.0\%,0.0\%,0.0\%,128
A. Haider Maurer,100.0\%,18.2\%,1.98\%,0.12\%,0.0\%,0.0\%,0.0\%,0.0\%,128
G. Barrere,100.0\%,11.7\%,0.73\%,0.03\%,0.0\%,0.0\%,0.0\%,0.0\%,128
J. Duckworth,100.0\%,10.26\%,0.54\%,0.02\%,0.0\%,0.0\%,0.0\%,0.0\%,128
O. Otte,100.0\%,0.9\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,128
E. Benchetrit,100.0\%,0.76\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,128
M. Janvier,100.0\%,0.75\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,0.0\%,128
