name,128,64,32,16,8,4,2,1,reached
Peter Gojowczyk,1.0000,0.5571,0.2674,0.1169,0.0387,0.0101,0.0020,0.0006,128
Francis Tiafoe,1.0000,0.5593,0.2787,0.1106,0.0348,0.0090,0.0019,0.0005,128
Marton Fucsovics,1.0000,0.5286,0.2394,0.0893,0.0297,0.0087,0.0018,0.0005,64
Kamil Majchrzak,1.0000,0.5400,0.2582,0.0914,0.0291,0.0059,0.0014,0.0005,absent
Roberto Carballes Baena,1.0000,0.5058,0.2284,0.0753,0.0184,0.0058,0.0005,0.0005,128
Aljaz Bedene,1.0000,0.5332,0.2501,0.0907,0.0252,0.0058,0.0019,0.0004,128
Mischa Zverev,1.0000,0.5380,0.2395,0.0900,0.0286,0.0064,0.0014,0.0004,32
Federico Delbonis,1.0000,0.5117,0.2238,0.0749,0.0213,0.0051,0.0019,0.0003,64
Taylor Harry Fritz,1.0000,0.5469,0.2582,0.0959,0.0300,0.0070,0.0012,0.0003,128
Nicolas Kicker,1.0000,0.4462,0.1729,0.0530,0.0145,0.0037,0.0009,0.0003,absent
Nikoloz Basilashvili,1.0000,0.4487,0.1680,0.0494,0.0134,0.0035,0.0005,0.0003,128
Casper Ruud,1.0000,0.4744,0.1866,0.0547,0.0147,0.0019,0.0003,0.0003,64
Sebastian Ofner,1.0000,0.4350,0.1691,0.0462,0.0066,0.0006,0.0003,0.0003,absent
Alexandr Dolgopolov,1.0000,0.5436,0.2536,0.0975,0.0339,0.0102,0.0030,0.0002,absent
Adrian Mannarino,1.0000,0.5930,0.3416,0.1803,0.0701,0.0164,0.0026,0.0002,128
Steve Johnson,1.0000,0.5421,0.2466,0.0986,0.0291,0.0082,0.0019,0.0002,32
Pablo Cuevas,1.0000,0.5233,0.2362,0.0861,0.0271,0.0064,0.0015,0.0002,64
Robin Haase,1.0000,0.5352,0.2632,0.1060,0.0302,0.0074,0.0013,0.0002,128
John Millman,1.0000,0.4955,0.2092,0.0737,0.0218,0.0053,0.0011,0.0002,128
Jeremy Chardy,1.0000,0.4856,0.2023,0.0596,0.0155,0.0042,0.0008,0.0002,64
Andreas Seppi,1.0000,0.4589,0.1767,0.0611,0.0161,0.0036,0.0007,0.0002,128
Jan Lennard Struff,1.0000,0.4809,0.2016,0.0638,0.0159,0.0034,0.0007,0.0002,64
Maximilian Marterer,1.0000,0.4500,0.1686,0.0470,0.0106,0.0022,0.0007,0.0002,16
Alex De Minaur,1.0000,0.4756,0.1956,0.0613,0.0150,0.0033,0.0003,0.0002,128
Nicolas Mahut,1.0000,0.3612,0.1106,0.0237,0.0043,0.0004,0.0003,0.0002,128
Jiri Vesely,1.0000,0.5317,0.2422,0.0857,0.0236,0.0053,0.0011,0.0001,128
Gilles Simon,1.0000,0.4829,0.1987,0.0589,0.0164,0.0041,0.0008,0.0001,32
Yuki Bhambri,1.0000,0.4644,0.1864,0.0558,0.0122,0.0033,0.0008,0.0001,128
