date,round,surface,court,draw_size,level,age_1,atp_ranking_1,atp_points_1,hand_1,height_1,ratio_avg_1,ratio_prev_1,ratio_common_1,ace_avg_1,df_avg_1,svpt_avg_1,first_in_avg_1,first_won_avg_1,second_won_avg_1,sv_gms_avg_1,bp_saved_avg_1,bp_faced_avg_1,ace_prev_1,df_prev_1,svpt_prev_1,first_in_prev_1,first_won_prev_1,second_won_prev_1,sv_gms_prev_1,bp_saved_prev_1,bp_faced_prev_1,ace_common_1,df_common_1,svpt_common_1,first_in_common_1,first_won_common_1,second_won_common_1,sv_gms_common_1,bp_saved_common_1,bp_faced_common_1,age_2,atp_ranking_2,atp_points_2,hand_2,height_2,ratio_avg_2,ratio_prev_2,ratio_common_2,ace_avg_2,df_avg_2,svpt_avg_2,first_in_avg_2,first_won_avg_2,second_won_avg_2,sv_gms_avg_2,bp_saved_avg_2,bp_faced_avg_2,ace_prev_2,df_prev_2,svpt_prev_2,first_in_prev_2,first_won_prev_2,second_won_prev_2,sv_gms_prev_2,bp_saved_prev_2,bp_faced_prev_2,ace_common_2,df_common_2,svpt_common_2,first_in_common_2,first_won_common_2,second_won_common_2,sv_gms_common_2,bp_saved_common_2,bp_faced_common_2,odd_avg_1,odd_avg_2,odd_max_1,odd_max_2
2008/1/1,R32,Hard,Outdoor,32,International,26.8473648186,21.0,1365.0,R,180,0.7758241758241758,0.0,0.5370370370370371,6.765258215962441,3.7018779342723005,80.96713615023474,43.33802816901409,32.35446009389671,20.004694835680752,12.805164319248826,3.983568075117371,6.345070422535211,,,,,,,,,,,,,,,,,,,22.7405886379,64.0,573.0,R,175,0.0,0.0,0.5,3.2,3.7,82.0,50.4,32.7,15.4,13.3,4.4,8.7,,,,,,,,,,,,,,,,,,,1.167,5.2,1.1523333333333332,4.85
2008/1/1,R32,Hard,Outdoor,32,International,25.196440794,65.0,566.0,R,190,0.5092936802973977,1.0,0.47058823529411764,5.515267175572519,2.6526717557251906,73.24809160305344,39.37404580152672,28.450381679389313,17.31679389312977,11.389312977099237,3.8435114503816794,6.427480916030534,4.0,2.0,39.0,23.0,21.0,11.0,8.0,0.0,0.0,,,,,,,,,,24.128678987,81.0,481.0,L,185,0.0,0.0,0.3103448275862069,3.1666666666666665,1.537037037037037,79.22222222222223,48.925925925925924,32.44444444444444,15.0,12.25925925925926,4.592592592592593,8.037037037037036,1.0,0.0,51.0,34.0,19.0,6.0,8.0,1.0,5.0,3.1379310344827585,1.4137931034482758,80.06896551724138,50.758620689655174,33.793103448275865,14.310344827586206,12.344827586206897,4.689655172413793,8.206896551724139,1.833,1.95,1.811,1.8943333333333332
2008/1/1,R32,Hard,Outdoor,32,International,19.3347022587,61.0,585.0,R,190,0.4375,0.0,0.0,8.25,3.5416666666666665,82.5,52.541666666666664,39.0,14.166666666666666,12.75,5.208333333333333,7.541666666666667,,,,,,,,,,,,,,,,,,,20.4435318275,177.0,239.0,R,185,0.0,0.0,0.0,5.5,4.5,86.5,49.0,36.5,17.0,12.5,5.5,8.5,,,,,,,,,,,,,,,,,,,1.4,2.75,1.4,2.75
2008/1/1,R32,Hard,Outdoor,32,International,22.7049965777,43.0,714.0,R,188,0.5517241379310345,0.0,0.5263157894736842,8.310344827586206,2.206896551724138,77.62068965517241,50.06896551724138,37.206896551724135,14.0,12.413793103448276,3.206896551724138,5.482758620689655,,,,,,,,,,8.421052631578947,2.0526315789473686,78.21052631578948,51.26315789473684,38.05263157894737,13.842105263157896,12.789473684210526,2.3157894736842106,4.631578947368421,26.4449007529,76.0,517.0,R,198,0.0,0.0,0.09090909090909091,5.2773722627737225,1.8613138686131387,80.78832116788321,54.55474452554745,37.693430656934304,13.430656934306569,12.357664233576642,4.583941605839416,7.102189781021898,,,,,,,,,,,,,,,,,,,1.35,3.5,1.3053333333333332,3.3666666666666667
2008/1/1,R32,Hard,Outdoor,32,International,26.4394250513,27.0,995.0,L,185,0.5853658536585366,0.0,0.6923076923076923,3.0297619047619047,2.0863095238095237,79.97321428571429,51.541666666666664,34.782738095238095,14.476190476190476,12.267857142857142,4.589285714285714,7.517857142857143,,,,,,,,,,3.230769230769231,1.6153846153846154,66.46153846153847,42.15384615384615,30.846153846153847,12.307692307692308,10.76923076923077,2.923076923076923,4.769230769230769,27.0882956879,224.0,184.0,R,183,0.0,0.0,0.25,2.25,4.5,74.5,41.0,28.0,15.25,11.25,6.5,10.25,,,,,,,,,,2.25,4.5,74.5,41.0,28.0,15.25,11.25,6.5,10.25,1.2,4.5,1.1756666666666666,4.416666666666667
2008/1/1,R32,Hard,Outdoor,32,International,23.2607802875,72.0,521.0,R,185,0.40963855421686746,0.0,0.2222222222222222,9.390625,2.296875,76.453125,46.0,33.703125,15.171875,12.34375,4.015625,6.71875,,,,,,,,,,,,,,,,,,,22.2286105407,67.0,541.0,R,183,0.0,0.0,0.5,4.384615384615385,1.0384615384615385,75.53846153846153,49.5,33.69230769230769,13.807692307692308,11.961538461538462,3.230769230769231,5.884615384615385,,,,,,,,,,6.375,1.125,88.75,58.375,41.125,17.375,14.25,4.125,6.75,1.7,2.25,1.6136666666666668,2.1999999999999997
2008/1/1,R32,Hard,Outdoor,32,International,33.4510609172,77.0,515.0,R,183,0.5016393442622951,0.0,0.42731277533039647,3.6956521739130435,3.3277591973244145,78.60535117056857,45.30100334448161,30.91304347826087,17.11705685618729,12.073578595317725,4.60200668896321,7.625418060200669,,,,,,,,,,,,,,,,,,,29.5906913073,53.0,621.0,R,175,0.005249343832020997,1.0,0.599250936329588,6.070422535211268,1.6985915492957746,81.66760563380282,44.50422535211268,32.563380281690144,19.501408450704226,12.847887323943661,4.050704225352113,6.653521126760563,,,,,,,,,,,,,,,,,,,3.1,1.444,2.865,1.391333333333333
2008/1/1,R32,Hard,Outdoor,32,International,19.8767967146,80.0,487.0,R,185,0.4666666666666667,0.0,0.6666666666666666,4.983333333333333,3.6333333333333333,79.71666666666667,46.61666666666667,33.016666666666666,15.833333333333334,12.166666666666666,4.583333333333333,7.633333333333334,,,,,,,,,,5.666666666666667,3.6666666666666665,59.333333333333336,32.0,22.333333333333332,13.333333333333334,9.0,5.333333333333333,7.666666666666667,27.6796714579,131.0,338.0,R,180,0.0,0.0,0.0,3.75,3.25,84.625,51.625,32.25,15.375,13.125,5.5,10.125,,,,,,,,,,2.5,4.0,100.0,61.0,34.0,18.5,15.0,5.0,12.0,2.0,2.0,2.0,2.0
2008/1/1,R32,Hard,Outdoor,32,International,22.4202600958,91.0,462.0,L,201,0.40816326530612246,0.0,0.3333333333333333,15.560975609756097,3.975609756097561,91.70731707317073,53.390243902439025,41.73170731707317,19.804878048780488,14.292682926829269,4.2439024390243905,6.2926829268292686,,,,,,,,,,18.666666666666668,3.6666666666666665,101.66666666666667,61.333333333333336,45.0,19.666666666666668,14.666666666666666,7.0,9.333333333333334,22.1081451061,126.0,357.0,L,180,0.0,0.0,0.6666666666666666,8.538461538461538,2.923076923076923,93.07692307692308,60.61538461538461,41.92307692307692,16.692307692307693,14.615384615384615,4.461538461538462,7.6923076923076925,,,,,,,,,,7.666666666666667,1.6666666666666667,86.66666666666667,60.666666666666664,40.666666666666664,14.0,12.666666666666666,4.0,6.333333333333333,1.6,2.3,1.5803333333333331,2.2666666666666666
2008/1/1,R32,Hard,Outdoor,32,International,25.9657768652,25.0,1320.0,R,185,0.5232974910394266,0.0,0.4418604651162791,4.617977528089888,2.801498127340824,76.65168539325843,41.57677902621723,29.816479400749063,18.307116104868914,11.985018726591761,3.749063670411985,6.411985018726591,2.0,5.5,58.0,26.0,15.5,13.0,8.5,5.0,9.5,,,,,,,,,,26.0287474333,68.0,540.0,R,185,0.012345679012345678,1.0,0.37962962962962965,4.345679012345679,3.0864197530864197,76.0679012345679,49.388888888888886,32.72222222222222,12.728395061728396,11.709876543209877,4.395061728395062,7.691358024691358,4.5,1.5,45.0,31.0,24.5,8.5,8.0,5.0,5.5,4.444444444444445,3.1574074074074074,79.33333333333333,51.648148148148145,33.907407407407405,12.916666666666666,12.185185185185185,4.425925925925926,8.046296296296296,1.5,2.67,1.46,2.5966666666666667
