ht,age,rank,rank_points,common_ratio,common_ace,common_df,common_1st_in,common_1st_win,common_2nd_win,common_serve_win,common_break_saved,common_break_lost,common_return_1st_win,common_return_2nd_win,common_ace_faced,common_break_win,common_points_win,avg_ratio,avg_ace,avg_df,avg_1st_in,avg_1st_win,avg_2nd_win,avg_serve_win,avg_break_saved,avg_break_lost,avg_return_1st_win,avg_return_2nd_win,avg_ace_faced,avg_break_win,avg_points_win,common_completeness,common_serve1_adv,common_serve2_adv,avg_completeness,avg_serve1_adv,avg_serve2_adv,outcome,name_1,name_2,date,level,B365_1,B365_2,EX_1,EX_2,LB_1,LB_2,PS_1,PS_2,Max_1,Max_2,Avg_1,Avg_2
5,3.17316907,11,-78,0.013320984,0.017942717,-0.003372126,0.026118566,0.029324462,0.025405263,0.032708003,0.036578292,-0.066235456,-0.054912435,-0.035649307,0.023717573,-0.010324552,-0.006810624,0.010270042,0.017710869,-0.003349504,0.025627741,0.02882619,0.024446752,0.031937964,0.035441783,-0.064770412,-0.055013595,-0.036318681,0.023766729,-0.010455337,-0.007277739,-0.032649562,-0.025587973,-0.010244044,-0.033688208,-0.026187405,-0.01187193,1,Horacio Zeballos,Adrian Mannarino,29/05/2017,G,2,1.8,1.95,1.75,1.91,1.91,2.09,1.83,2.09,1.91,1.98,1.82
-5,-0.07118412,126,-1158,-0.08367573,-0.122514303,0.006341572,-0.035227375,-0.092365934,-0.014151984,-0.069080516,-0.064392816,0.105813129,0.056675844,0.056403001,-0.030843291,0.012966052,-0.005792668,-0.088827913,-0.122818238,0.006458414,-0.035866165,-0.092135817,-0.014504498,-0.069228529,-0.063760752,0.105982209,0.055890106,0.055276022,-0.029596809,0.012732601,-0.006333907,0.020797494,-0.03569009,0.042251017,0.019430532,-0.036245711,0.040771524,1,Guillermo Garcia Lopez,Gilles Muller,29/05/2017,G,3,1.4,2.95,1.35,2.75,1.44,3.22,1.4,3.22,1.46,2.97,1.45
-5,2.74880219,-74,1488,0.073810729,-0.085692405,-0.002044148,0.03169701,-0.05972974,-0.018739358,-0.037860489,0.000191536,0.056183237,0.046012427,0.055390449,0.013696967,0.016549078,0.009946066,0.073810729,-0.085692405,-0.002044148,0.03169701,-0.05972974,-0.018739358,-0.037860489,0.000191536,0.056183237,0.046012427,0.055390449,0.013696967,0.016549078,0.009946066,0.035181974,-0.013717313,0.036651092,0.035181974,-0.013717313,0.036651092,1,Albert Ramos,Marius Copil,29/05/2017,G,1.2,4.5,1.18,4.3,1.2,4.5,1.22,4.85,1.23,4.85,1.21,4.41
,-0.32580424,200,-584,0.527102103,,,,,,,,,,,,,,0.527102103,,,,,,,,,,,,,,,,,,,,1,Benjamin Bonzi,Daniil Medvedev,29/05/2017,G,2.75,1.44,2.65,1.42,2.75,1.44,2.95,1.46,2.95,1.48,2.76,1.44
,-2.20670773,-62,199,-0.127952978,-0.070799886,-0.025058835,0.032180977,-0.096709753,0.004896948,-0.053611913,-0.07535113,0.117638695,0.015581215,0.029449602,-0.003452093,0.007554775,-0.014692453,-0.142806176,-0.071111543,-0.024913886,0.034414317,-0.098423357,0.002834982,-0.055172793,-0.072658896,0.120206542,0.013598526,0.026839054,-0.002476109,0.006924856,-0.016235005,-0.012851168,-0.081128538,0.03434655,-0.016893957,-0.084824831,0.029674036,1,Taro Daniel,Jerzy Janowicz,29/05/2017,G,1.72,2.1,1.62,2.15,1.67,2.2,1.69,2.3,1.77,2.31,1.68,2.17
-2,-7.76728268,-23,1078,0.072610013,-0.006168357,0.00087678,0.006088524,0.006624152,0.01598278,0.011245389,-0.026694078,-0.008638242,0.009916371,0.031127585,-0.005379065,0.005672368,0.015332355,0.072610013,-0.006168357,0.00087678,0.006088524,0.006624152,0.01598278,0.011245389,-0.026694078,-0.008638242,0.009916371,0.031127585,-0.005379065,0.005672368,0.015332355,0.034503132,0.016540523,0.047110365,0.034503132,0.016540523,0.047110365,1,Pablo Carreno Busta,Florian Mayer,29/05/2017,G,1.08,8,1.06,7.25,1.1,7,1.09,9.35,1.17,9.35,1.08,7.84
3,-10.99520876,-101,2410,0.280863828,0.033843907,-0.017763184,0.105561216,0.050702398,0.058581893,0.077921838,0.071909092,-0.138610748,0.014916202,-0.014311473,-0.015181194,0.001230097,0.037503387,0.280863828,0.033843907,-0.017763184,0.105561216,0.050702398,0.058581893,0.077921838,0.071909092,-0.138610748,0.014916202,-0.014311473,-0.015181194,0.001230097,0.037503387,0.062182012,0.0656186,0.04427042,0.062182012,0.0656186,0.04427042,1,Grigor Dimitrov,Stephane Robert,29/05/2017,G,1.01,17,1.01,11.5,1.03,11,1.03,17.65,1.04,17.65,1.03,13.69
,19.45242985,-181,1556,0.53472575,0.191779551,0.027170981,0.059776006,0.178805911,0.054774704,0.145983513,0.215691958,-0.240189426,-0.089146777,-0.051876838,0.046296513,-0.012816105,0.043607121,0.53472575,0.191779551,0.027170981,0.059776006,0.178805911,0.054774704,0.145983513,0.215691958,-0.240189426,-0.089146777,-0.051876838,0.046296513,-0.012816105,0.043607121,0.007075333,0.089659134,0.002897866,0.007075333,0.089659134,0.002897866,1,Ivo Karlovic,Stefanos Tsitsipas,29/05/2017,G,1.66,2.2,1.65,2.1,1.73,2.1,1.75,2.2,1.75,2.33,1.69,2.16
,3.57015743,-28,136,0.410311312,-0.000695059,-0.011262869,-0.025442658,0.034542153,0.160176749,0.077256732,-0.087103725,-0.126521238,0.056095913,0.137021342,0.011232852,0.026320842,0.070048584,0.410311312,-0.000695059,-0.011262869,-0.025442658,0.034542153,0.160176749,0.077256732,-0.087103725,-0.126521238,0.056095913,0.137021342,0.011232852,0.026320842,0.070048584,0.16328786,0.090638066,0.297198092,0.16328786,0.090638066,0.297198092,1,Mikhail Kukushkin,Tennys Sandgren,29/05/2017,G,1.44,2.75,1.42,2.65,1.44,2.75,1.5,2.8,1.5,2.88,1.44,2.74
,6.73511294,36,-105,0.130730922,-0.081312093,-0.01330697,-0.005714219,-0.071470604,0.024274629,-0.034450217,-0.030840053,0.088846834,0.085401814,0.009676495,-0.03492256,0.014099637,0.008545943,0.130730922,-0.081312093,-0.01330697,-0.005714219,-0.071470604,0.024274629,-0.034450217,-0.030840053,0.088846834,0.085401814,0.009676495,-0.03492256,0.014099637,0.008545943,0.031079669,0.013931209,0.033951124,0.031079669,0.013931209,0.033951124,1,Marco Trungelliti,Quentin Halys,29/05/2017,G,2,1.8,2,1.72,2,1.8,2.2,1.75,2.2,1.85,2.05,1.76
-8,-0.8678987,-32,3130,0.139377291,-0.027822518,0.013613936,-0.06393314,0.014445376,0.029574727,0.007147666,-0.022065067,8.14E-05,0.047189711,0.026319387,-0.055763378,0.010093254,0.016984169,0.142925188,-0.027016883,0.0134203,-0.063141103,0.014853423,0.02970015,0.007572043,-0.023021372,6.02E-06,0.047563979,0.026244226,-0.056376501,0.010022624,0.01728668,0.053167985,0.061635086,0.055894114,0.05369432,0.062417403,0.055944376,1,Dominic Thiem,Bernard Tomic,29/05/2017,G,1.01,17,1.01,11.5,1.04,11,1.04,16.3,1.04,17,1.03,13.47
5,8.06023271,219,-662,0.099466775,-0.010810118,-0.013622589,0.035567486,-0.000909742,0.019871532,0.013703275,0.009046314,-0.021763768,0.003644741,0.000975293,-0.036692636,0.002065961,0.007740037,0.103527558,-0.010557874,-0.013745725,0.035237008,-0.0002202,0.021062247,0.014536852,0.010604082,-0.023039069,0.004593235,0.001286187,-0.036772277,0.002136479,0.008279321,0.013872208,0.002734999,0.020846824,0.015324668,0.004373035,0.022348435,1,Tommy Robredo,Daniel Evans,29/05/2017,G,1.61,2.3,1.57,2.25,1.57,2.38,1.65,2.4,1.69,2.4,1.63,2.27
0,-12.1779603,-81,1766,0.128105717,-0.001475376,0.000722636,-0.094480138,0.025409977,0.024450114,0.00540456,0.023252913,-0.014663717,0.001436388,0.012327712,-0.010517055,0.001898293,0.006535181,0.142000465,-0.000305795,0.001152632,-0.09288585,0.025672886,0.023737662,0.005480712,0.031495147,-0.015623947,0.002498566,0.012000989,-0.011253768,0.002168238,0.007159057,0.012868025,0.026846365,0.036777826,0.013388328,0.028171452,0.03573865,1,Lucas Pouille,Julien Benneteau,29/05/2017,G,1.08,8,1.06,7.25,1.08,7.5,1.08,9.87,1.08,10.1,1.07,8.53
8,2.49965777,-20,158,0.019796561,0.024169976,0.020094879,-0.071882944,0.015289224,-0.008244741,-0.006173306,-0.040021204,0.02389602,0.018705146,0.029976134,-0.003862603,0.003291372,0.005046677,0.019796561,0.024169976,0.020094879,-0.071882944,0.015289224,-0.008244741,-0.006173306,-0.040021204,0.02389602,0.018705146,0.029976134,-0.003862603,0.003291372,0.005046677,0.02595575,0.033994371,0.021731393,0.02595575,0.033994371,0.021731393,1,Thomaz Bellucci,Dusan Lajovic,29/05/2017,G,1.53,2.5,1.5,2.4,1.5,2.63,1.56,2.6,1.56,2.65,1.52,2.53
