bd06,roberto-bautista-agut,Roberto,Bautista Agut,http://www.atpworldtour.com/en/players/roberto-bautista-agut/bd06/overview,ESP,"Castellon de la Plana, Spain","Castellon de la Plana, Spain",1988.04.14,1988,04,14,2005,168,76,"6'0""",72,183,Right-Handed,Two-Handed Backhand
ba47,tomas-berdych,Tomas,Berdych,http://www.atpworldtour.com/en/players/tomas-berdych/ba47/overview,CZE,"Monte Carlo, Monaco","Valasske Mezirici, CZE",1985.09.17,1985,09,17,2002,200,91,"6'5""",77,196,Right-Handed,Two-Handed Backhand
d643,novak-djokovic,Novak,Djokovic,http://www.atpworldtour.com/en/players/novak-djokovic/d643/overview,SRB,"Monte Carlo, Monaco","Belgrade, Serbia",1987.05.22,1987,05,22,2003,170,77,"6'2""",74,188,Right-Handed,Two-Handed Backhand
d650,micky-dominguez,Micky,Dominguez,http://www.atpworldtour.com/en/players/micky-dominguez/d650/overview,PHI,,,1947.09.07,1947,09,07,,,,,,,,
