name,128,64,32,16,8,4,2,1
Andrey Rublev,100.0\%,50.629999999999995\%,21.51\%,6.3\%,1.46\%,0.29\%,0.05\%,0.02\%
Bernard Tomic,100.0\%,47.83\%,18.310000000000002\%,5.140000000000001\%,1.0699999999999998\%,0.16\%,0.05\%,0.02\%
Taylor Harry Fritz,100.0\%,54.669999999999995\%,25.21\%,8.290000000000001\%,2.26\%,0.31\%,0.03\%,0.02\%
Henri Laaksonen,100.0\%,48.46\%,18.8\%,4.64\%,0.98\%,0.15\%,0.02\%,0.02\%
Gilles Simon,100.0\%,60.589999999999996\%,36.5\%,18.029999999999998\%,5.24\%,0.8999999999999999\%,0.13\%,0.01\%
Tomas Berdych,100.0\%,55.44\%,26.51\%,9.0\%,2.41\%,0.49\%,0.08\%,0.01\%
Jo Wilfried Tsonga,100.0\%,57.16\%,27.6\%,10.25\%,2.76\%,0.52\%,0.06999999999999999\%,0.01\%
Sam Querrey,100.0\%,54.879999999999995\%,25.6\%,8.450000000000001\%,1.9900000000000002\%,0.38999999999999996\%,0.05\%,0.01\%
Damir Dzumhur,100.0\%,51.33\%,21.46\%,6.54\%,1.63\%,0.32\%,0.04\%,0.01\%
Jaume Munar,100.0\%,51.580000000000005\%,22.28\%,7.359999999999999\%,1.7999999999999998\%,0.3\%,0.04\%,0.01\%
Peter Gojowczyk,100.0\%,48.85\%,19.73\%,5.62\%,1.32\%,0.21\%,0.04\%,0.01\%
Reilly Opelka,100.0\%,48.04\%,19.08\%,5.04\%,1.04\%,0.19\%,0.04\%,0.01\%
Philipp Kohlschreiber,100.0\%,54.50000000000001\%,25.53\%,9.969999999999999\%,2.5\%,0.4\%,0.03\%,0.01\%
Federico Delbonis,100.0\%,48.47\%,20.05\%,5.42\%,1.11\%,0.16999999999999998\%,0.02\%,0.01\%
Pedro Sousa,100.0\%,45.08\%,16.35\%,3.9600000000000004\%,0.8200000000000001\%,0.15\%,0.02\%,0.01\%
Pierre Hugues Herbert,100.0\%,47.11\%,18.060000000000002\%,5.54\%,1.48\%,0.21\%,0.01\%,0.01\%
