name,128,64,32,16,8,4,2,1
Sam Querrey,100.0\%,54.88\%,25.6\%,8.45\%,1.99\%,0.39\%,0.05\%,0.01\%
Damir Dzumhur,100.0\%,51.33\%,21.46\%,6.54\%,1.63\%,0.32\%,0.04\%,0.01\%
Jaume Munar,100.0\%,51.58\%,22.28\%,7.36\%,1.8\%,0.3\%,0.04\%,0.01\%
Peter Gojowczyk,100.0\%,48.85\%,19.73\%,5.62\%,1.32\%,0.21\%,0.04\%,0.01\%
Reilly Opelka,100.0\%,48.04\%,19.08\%,5.04\%,1.04\%,0.19\%,0.04\%,0.01\%
Philipp Kohlschreiber,100.0\%,54.5\%,25.53\%,9.97\%,2.5\%,0.4\%,0.03\%,0.01\%
Federico Delbonis,100.0\%,48.47\%,20.05\%,5.42\%,1.11\%,0.17\%,0.02\%,0.01\%
Pedro Sousa,100.0\%,45.08\%,16.35\%,3.96\%,0.82\%,0.15\%,0.02\%,0.01\%
Pierre Hugues Herbert,100.0\%,47.11\%,18.06\%,5.54\%,1.48\%,0.21\%,0.01\%,0.01\%
Daniel Evans,100.0\%,45.22\%,16.85\%,4.62\%,0.77\%,0.08\%,0.01\%,0.01\%
Dusan Lajovic,100.0\%,62.87\%,37.97\%,20.33\%,5.94\%,1.25\%,0.19\%,0.0\%
Steve Johnson,100.0\%,50.48\%,21.27\%,6.74\%,1.51\%,0.35\%,0.08\%,0.0\%
Mikael Torpegaard,100.0\%,41.83\%,13.5\%,2.33\%,0.58\%,0.25\%,0.08\%,0.0\%
Kamil Majchrzak,100.0\%,54.33\%,24.48\%,7.19\%,1.85\%,0.52\%,0.07\%,0.0\%
Jiri Vesely,100.0\%,50.81\%,22.16\%,6.67\%,1.57\%,0.31\%,0.06\%,0.0\%
Pablo Cuevas,100.0\%,52.21\%,23.07\%,7.23\%,1.91\%,0.35\%,0.04\%,0.0\%
Emilio Gomez,100.0\%,38.87\%,12.79\%,2.29\%,0.5\%,0.08\%,0.04\%,0.0\%
Jason Jung,100.0\%,34.04\%,8.84\%,1.68\%,0.24\%,0.04\%,0.04\%,0.0\%
Leonardo Mayer,100.0\%,51.25\%,21.8\%,6.71\%,1.51\%,0.29\%,0.03\%,0.0\%
Jeremy Chardy,100.0\%,51.09\%,21.7\%,7.33\%,1.66\%,0.25\%,0.03\%,0.0\%
Ernests Gulbis,100.0\%,50.27\%,20.94\%,5.89\%,1.29\%,0.21\%,0.03\%,0.0\%
John Millman,100.0\%,48.74\%,19.1\%,5.97\%,1.42\%,0.2\%,0.03\%,0.0\%
Marius Copil,100.0\%,48.35\%,18.69\%,4.85\%,0.94\%,0.13\%,0.03\%,0.0\%
Aljaz Bedene,100.0\%,49.69\%,20.31\%,5.37\%,1.13\%,0.23\%,0.02\%,0.0\%
Alexander Bublik,100.0\%,44.74\%,16.76\%,4.31\%,0.84\%,0.19\%,0.02\%,0.0\%
