2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Final,1,1,b'Roberto Bautista Agut',bd06,roberto-bautista-agut,b'Tomas Berdych',ba47,tomas-berdych,7,W,64 36 63,2,1,15,13,0,0,2019-451-bd06-ba47,/en/scores/2019/451/MS001/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Semifinals,2,1,b'Roberto Bautista Agut',bd06,roberto-bautista-agut,b'Novak Djokovic',d643,novak-djokovic,7,1,36 76(6) 64,2,1,16,16,1,0,2019-451-bd06-d643,/en/scores/2019/451/MS002/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Semifinals,2,2,b'Tomas Berdych',ba47,tomas-berdych,b'Marco Cecchinato',cf01,marco-cecchinato,W,4,76(6) 63,2,0,13,9,1,0,2019-451-ba47-cf01,/en/scores/2019/451/MS003/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Quarterfinals,3,1,b'Novak Djokovic',d643,novak-djokovic,b'Nikoloz Basilashvili',bg23,nikoloz-basilashvili,1,5,46 63 64,2,1,16,13,0,0,2019-451-d643-bg23,/en/scores/2019/451/MS004/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Quarterfinals,3,2,b'Marco Cecchinato',cf01,marco-cecchinato,b'Dusan Lajovic',l987,dusan-lajovic,4,,76(2) 62,2,0,13,8,1,0,2019-451-cf01-l987,/en/scores/2019/451/MS006/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Quarterfinals,3,3,b'Roberto Bautista Agut',bd06,roberto-bautista-agut,b'Stan Wawrinka',w367,stan-wawrinka,7,,64 64,2,0,12,8,0,0,2019-451-bd06-w367,/en/scores/2019/451/MS005/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Quarterfinals,3,4,b'Tomas Berdych',ba47,tomas-berdych,b'Pierre-Hugues Herbert',h996,pierre-hugues-herbert,W,,62 64,2,0,12,6,0,0,2019-451-ba47-h996,/en/scores/2019/451/MS007/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,1,b'Novak Djokovic',d643,novak-djokovic,b'Marton Fucsovics',f724,marton-fucsovics,1,,46 64 61,2,1,16,11,0,0,2019-451-d643-f724,/en/scores/2019/451/MS008/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,2,b'Marco Cecchinato',cf01,marco-cecchinato,b'Guido Pella',pc11,guido-pella,4,,(W/O),0,0,0,0,0,0,2019-451-cf01-pc11,
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,3,b'Nikoloz Basilashvili',bg23,nikoloz-basilashvili,b'Andrey Rublev',re44,andrey-rublev,5,,63 64,2,0,12,7,0,0,2019-451-bg23-re44,/en/scores/2019/451/MS009/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,4,b'Roberto Bautista Agut',bd06,roberto-bautista-agut,b'Guillermo Garcia-Lopez',g476,guillermo-garcia-lopez,7,Q,61 64,2,0,12,5,0,0,2019-451-bd06-g476,/en/scores/2019/451/MS011/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,5,b'Tomas Berdych',ba47,tomas-berdych,b'Fernando Verdasco',v306,fernando-verdasco,W,8,46 63 75,2,1,17,14,0,0,2019-451-ba47-v306,/en/scores/2019/451/MS014/match-stats?isLive=False
2019-451,1,doha,/en/scores/archive/doha/451/2019/results,Round of 16,4,6,b'Pierre-Hugues Herbert',h996,pierre-hugues-herbert,b'Maximilian Marterer',mn13,maximilian-marterer,,Q,63 67(6) 76(6),2,1,19,16,1,1,2019-451-h996-mn13,/en/scores/2019/451/MS015/match-stats?isLive=False
