2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,4,b'Mischa Zverev',z168,mischa-zverev,b'John-Patrick Smith',sj55,john-patrick-smith,8,Q,64 75,2,0,13,9,0,0,2018-339-z168-sj55,/en/scores/2018/339/MS024/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,5,b'Alex de Minaur',dh58,alex-de-minaur,b'Steve Johnson',j386,steve-johnson,WC,,76(7) 64,2,0,13,10,1,0,2018-339-dh58-j386,/en/scores/2018/339/MS026/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,6,b'Jared Donaldson',dc58,jared-donaldson,b'Jordan Thompson',tc61,jordan-thompson,,WC,62 64,2,0,12,6,0,0,2018-339-dc58-tc61,/en/scores/2018/339/MS029/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,7,b'Matthew Ebden',e690,matthew-ebden,b'Frances Tiafoe',td51,frances-tiafoe,,,63 62,2,0,12,5,0,0,2018-339-e690-td51,/en/scores/2018/339/MS021/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,8,b'Kyle Edmund',e831,kyle-edmund,b'Denis Shapovalov',su55,denis-shapovalov,,,67(5) 76(4) 64,2,1,19,17,1,1,2018-339-e831-su55,/en/scores/2018/339/MS018/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,9,b'Ryan Harrison',h940,ryan-harrison,b'Leonardo Mayer',md56,leonardo-mayer,,,64 36 62,2,1,15,12,0,0,2018-339-h940-md56,/en/scores/2018/339/MS030/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,10,b'John Millman',mh30,john-millman,b'Peter Polansky',pb22,peter-polansky,WC,Q,76(4) 60,2,0,13,6,1,0,2018-339-mh30-pb22,/en/scores/2018/339/MS017/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,11,b'Michael Mmoh',mp01,michael-mmoh,b'Federico Delbonis',d874,federico-delbonis,Q,,63 64,2,0,12,7,0,0,2018-339-mp01-d874,/en/scores/2018/339/MS025/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,Round of 32,5,12,b'Horacio Zeballos',z184,horacio-zeballos,b'Ernesto Escobedo',e873,ernesto-escobedo,,Q,63 64,2,0,12,7,0,0,2018-339-z184-e873,/en/scores/2018/339/MS022/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,2nd Round Qualifying,6,1,b'Peter Polansky',pb22,peter-polansky,b'Yannick Hanfmann',h997,yannick-hanfmann,5,2,61 36 63,2,1,15,10,0,0,2018-339-pb22-h997,/en/scores/2018/339/QS005/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,2nd Round Qualifying,6,2,b'Ernesto Escobedo',e873,ernesto-escobedo,b'Jozef Kovalik',kc04,jozef-kovalik,3,8,62 76(4),2,0,13,8,1,0,2018-339-e873-kc04,/en/scores/2018/339/QS006/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,2nd Round Qualifying,6,3,b'Michael Mmoh',mp01,michael-mmoh,b'Sebastian Ofner',o513,sebastian-ofner,,6,64 63,2,0,12,7,0,0,2018-339-mp01-o513,/en/scores/2018/339/QS007/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,2nd Round Qualifying,6,4,b'John-Patrick Smith',sj55,john-patrick-smith,b'Viktor Galovic',gb61,viktor-galovic,,,64 36 76(2),2,1,16,16,1,0,2018-339-sj55-gb61,/en/scores/2018/339/QS004/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,1,b'John-Patrick Smith',sj55,john-patrick-smith,b'Alexander Bublik',bk92,alexander-bublik,,1,64 61,2,0,12,5,0,0,2018-339-sj55-bk92,/en/scores/2018/339/QS008/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,2,b'Yannick Hanfmann',h997,yannick-hanfmann,b'Sam Groth',g940,sam-groth,2,WC,64 76(7),2,0,13,10,1,0,2018-339-h997-g940,/en/scores/2018/339/QS010/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,3,b'Ernesto Escobedo',e873,ernesto-escobedo,b'James Duckworth',d994,james-duckworth,3,WC,62 46 64,2,1,16,12,0,0,2018-339-e873-d994,/en/scores/2018/339/QS012/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,4,b'Michael Mmoh',mp01,michael-mmoh,b'Quentin Halys',hb64,quentin-halys,,4,64 64,2,0,12,8,0,0,2018-339-mp01-hb64,/en/scores/2018/339/QS014/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,5,b'Peter Polansky',pb22,peter-polansky,b'Filip Peliwo',pf65,filip-peliwo,5,,62 62,2,0,12,4,0,0,2018-339-pb22-pf65,/en/scores/2018/339/QS011/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,6,b'Sebastian Ofner',o513,sebastian-ofner,b'Marcelo Arevalo',a853,marcelo-arevalo,6,,26 76(3) 62,2,1,15,14,1,0,2018-339-o513-a853,/en/scores/2018/339/QS015/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,7,b'Viktor Galovic',gb61,viktor-galovic,b'Renzo Olivo',o376,renzo-olivo,,7,46 63 62,2,1,16,11,0,0,2018-339-gb61-o376,/en/scores/2018/339/QS009/match-stats?isLive=False
2018-339,1,brisbane,/en/scores/archive/brisbane/339/2018/results,1st Round Qualifying,7,8,b'Jozef Kovalik',kc04,jozef-kovalik,b'Denis Kudla',kb09,denis-kudla,8,,76(5) 64,2,0,13,10,1,0,2018-339-kc04-kb09,/en/scores/2018/339/QS013/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Finals,1,1,b'Gael Monfils',mc65,gael-monfils,b'Andrey Rublev',re44,andrey-rublev,WC,,62 63,2,0,12,5,0,0,2018-451-mc65-re44,/en/scores/2018/451/MS001/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Semi-Finals,2,1,b'Gael Monfils',mc65,gael-monfils,b'Dominic Thiem',tb69,dominic-thiem,WC,1,(W/O),0,0,0,0,0,0,2018-451-mc65-tb69,
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Semi-Finals,2,2,b'Andrey Rublev',re44,andrey-rublev,b'Guido Pella',pc11,guido-pella,,,62 46 76(2),2,1,17,14,1,0,2018-451-re44-pc11,/en/scores/2018/451/MS003/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Quarter-Finals,3,1,b'Dominic Thiem',tb69,dominic-thiem,b'Stefanos Tsitsipas',te51,stefanos-tsitsipas,1,Q,75 64,2,0,13,9,0,0,2018-451-tb69-te51,/en/scores/2018/451/MS004/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Quarter-Finals,3,2,b'Gael Monfils',mc65,gael-monfils,b'Peter Gojowczyk',g967,peter-gojowczyk,WC,,63 76(6),2,0,13,9,1,0,2018-451-mc65-g967,/en/scores/2018/451/MS005/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Quarter-Finals,3,3,b'Guido Pella',pc11,guido-pella,b'Mirza Basic',be67,mirza-basic,,Q,62 63,2,0,12,5,0,0,2018-451-pc11-be67,/en/scores/2018/451/MS006/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Quarter-Finals,3,4,b'Andrey Rublev',re44,andrey-rublev,b'Borna Coric',cg80,borna-coric,,,63 75,2,0,13,8,0,0,2018-451-re44-cg80,/en/scores/2018/451/MS007/match-stats?isLive=False
2018-451,2,doha,/en/scores/archive/doha/451/2018/results,Round of 16,4,1,b'Dominic Thiem',tb69,dominic-thiem,b'Aljaz Bedene',bh09,aljaz-bedene,1,,75 64,2,0,13,9,0,0,2018-451-tb69-bh09,/en/scores/2018/451/MS008/match-stats?isLive=False
