143,401,Casper Ruud,19,5,down
144,401,Simone Bolelli,32,2,up
145,401,Lloyd Harris,21,,
146,395,Marcelo Arevalo,27,1,up
147,394,Gastao Elias,27,12,down
148,390,David Ferrer,36,69,down
149,388,Horacio Zeballos,33,1,down
150,386,Facundo Bagnis,28,3,up
151,385,Rogerio Dutra Silva,34,2,down
152,382,Mats Moraing,26,2,down
153,371,Bernard Tomic,25,1,down
154,366,Gregoire Barrere,24,14,up
155,362,Daniel Gimeno-Traver,33,,
156,357,Quentin Halys,21,1,up
157,357,Andrej Martin,28,3,up
158,356,Cristian Garin,22,,
159,354,Enrique Lopez Perez,27,5,down
160,350,Carlos Berlocq,35,1,down
161,349,Prajnesh Gunneswaran,28,,
162,348,Alex Bolt,25,,
163,347,Gianluigi Quinzi,22,1,up
164,343,Sergio Gutierrez-Ferrol,29,8,down
165,342,Tatsuma Ito,30,,
166,339,Dudi Sela,33,3,down
167,337,Luca Vanni,33,1,down
168,335,Attila Balazs,29,1,down
169,334,Ze Zhang,28,,
170,333,Darian King,26,,
171,331,Marc Polmans,21,11,up
172,331,Constant Lestienne,26,1,down
173,330,Reilly Opelka,20,,
174,328,Jay Clarke,20,,
175,325,Bjorn Fratangelo,25,1,up
176,325,Go Soeda,33,2,up
177,323,Yoshihito Nishioka,22,7,up
178,321,Kevin King,27,2,up
179,320,Matthias Bachinger,31,,
180,320,Andrea Arnaboldi,30,5,down
181,319,Oscar Otte,25,4,down
182,313,Pedro Martinez,21,1,down
183,310,Matteo Donati,23,,
184,303,Daniel Elahi Galan,22,4,up
185,303,Filip Peliwo,24,4,up
186,301,Mohamed Safwat,27,14,down
187,299,Tallon Griekspoor,22,4,up
188,296,Kamil Majchrzak,22,3,down
189,294,Calvin Hemery,23,3,up
190,293,Alexey Vatutin,25,3,up
191,292,Norbert Gombos,28,3,up
192,289,Thanasi Kokkinakis,22,7,up
193,289,Tommy Robredo,36,14,up
194,288,Florian Mayer,34,8,down
195,287,Pedja Krstin,23,3,up
196,285,Filip Horansky,25,55,up
197,281,Adam Pavlasek,23,,
198,281,Alexei Popyrin,19,13,up
199,281,Miomir Kecmanovic,18,1,up
200,281,Hiroki Moriya,27,1,up
201,279,Nino Serdarusic,21,6,down
202,278,Lukas Rosol,33,1,up
203,277,Nikola Milojevic,23,1,up
204,276,Guilherme Clezar,25,32,up
205,272,Carlos Taberner,21,1,up
206,272,Sebastian Ofner,22,4,down
207,271,Alexander Bublik,21,32,up
208,270,Uladzimir Ignatik,28,1,up
209,269,Kenny De Schepper,31,1,up
210,268,Roberto Quiroz,26,2,up
211,268,Zdenek Kolar,21,8,up
212,267,Stefano Napolitano,23,22,down
213,266,Thiemo de Bakker,29,,
214,264,Gian Marco Moroni,20,1,up
215,260,Daniel Brands,31,2,up
216,260,Joao Domingues,24,31,up
217,259,Scott Griekspoor,27,1,up
218,258,Maverick Banes,26,66,up
219,257,Salvatore Caruso,25,3,up
220,256,Lucas Miedler,22,3,up
221,254,John-Patrick Smith,29,25,down
222,252,Yen-Hsun Lu,35,4,up
223,252,Ernesto Escobedo,22,4,up
224,252,Evgeny Karlovskiy,24,4,up
225,250,Viktor Galovic,27,7,up
226,248,Daniel Evans,28,84,up
227,248,Roberto Cid Subervi,24,7,up
228,244,Dustin Brown,33,29,up
229,244,Alessandro Giannessi,28,6,up
230,244,Duckhee Lee,20,11,up
231,243,Rudolf Molleker,17,28,up
232,243,Danilo Petrovic,26,3,down
233,243,Tsung-Hua Yang,27,17,down
234,241,Antoine Hoang,22,13,down
235,240,Christopher Eubanks,22,30,down
236,239,Christian Harrison,24,22,down
237,238,Ivan Nedelko,32,3,up
238,236,Evan King,26,14,down
239,236,Liam Broady,24,14,down
240,235,Aleksandr Nedovyesov,31,9,down
241,235,Federico Gaio,26,4,down
242,232,Donald Young,29,4,down
243,232,Dominik Koepfer,24,2,up
244,231,Blaz Rola,27,2,up
245,227,Cem Ilkel,22,3,up
246,225,Mario Vilella Martinez,23,10,up
247,224,Arthur De Greef,26,2,up
248,222,James Ward,31,4,up
249,222,Pedro Cachin,23,11,up
250,221,Max Purcell,20,7,down
251,220,Ante Pavic,29,9,down
252,219,Stefan Kozlov,20,2,up
253,219,Johan Tatlot,22,8,up
254,219,Maximilian Neuchrist,27,1,up
255,217,Lorenzo Giustino,26,22,down
256,217,Tomislav Brkic,28,12,down
257,214,JC Aragone,23,14,up
258,211,Dennis Novikov,24,5,up
259,210,Jurij Rodionov,19,3,up
260,210,Egor Gerasimov,25,4,up
261,209,Laurynas Grigelis,27,4,up
262,209,Jan Choinski,22,39,up
263,207,Brayden Schnur,23,13,down
264,206,Goncalo Oliveira,23,11,down
265,203,Victor Estrella Burgos,38,78,down
266,201,Tobias Kamke,32,,
267,201,Gleb Sakharov,30,,
268,200,Mitchell Krueger,24,60,down
269,200,Oriol Roca Batalla,25,1,up
270,199,Vaclav Safranek,24,12,down
271,197,Kevin Krawietz,26,8,up
272,197,Yasutaka Uchiyama,26,4,down
273,196,Soonwoo Kwon,20,4,down
274,192,Daniel Masur,23,2,down
275,191,Maxime Janvier,21,2,down
276,191,Bernabe Zapata Miralles,21,4,up
277,189,David Guez,35,3,down
278,188,Yosuke Watanuki,20,3,down
279,188,Zhe Li,31,3,down
280,185,Filippo Baldi,22,3,down
281,184,Di Wu,26,3,down
282,180,Tim Puetz,30,1,down
283,178,Mate Valkusz,20,84,up
284,178,Ricardo Ojeda Lara,25,64,down
285,177,Blaz Kavcic,31,,
286,177,Akira Santillan,21,13,up
287,177,Jose Hernandez-Fernandez,28,1,down
288,177,Andrea Collarini,26,1,down
289,175,Kimmer Coppejans,24,6,down
290,173,Martin Cuevas,26,8,down
291,171,Renta Tokuda,20,17,up
292,171,Elliot Benchetrit,19,4,up
293,170,Carlos Gomez-Herrera,28,5,down
294,169,Roman Safiullin,21,4,up
295,169,Matteo Viola,31,4,down
296,168,Joao Menezes,21,4,down
297,167,Benjamin Bonzi,22,4,down
298,166,Mikael Ymer,19,4,down
299,166,Dimitar Kuzmanov,25,3,up
300,165,Gianluca Mager,23,3,down
301,164,Kaichi Uchida,23,11,down
302,160,Cedrik-Marcel Stebe,27,72,down
303,160,Steve Darcis,34,8,down
304,160,Miljan Zekic,30,22,up
305,159,Frank Dancevic,33,1,down
306,159,Sumit Nagal,21,6,down
307,159,Patricio Heras,29,2,down
308,159,Ulises Blanch,20,5,down
309,159,Alessandro Bega,27,5,up
310,156,Carlos Boluda-Purkiss,25,21,down
311,155,Thomaz Bellucci,30,2,down
312,155,Yannick Jankovits,31,1,down
313,153,Denis Yevseyev,25,7,down
314,153,Christopher Heyman,24,7,down
315,153,Hernan Casanova,24,2,down
316,152,Yunseong Chung,20,4,down
317,149,Yibing Wu,18,2,down
318,148,Alexander Ward,28,2,down
319,148,Aldin Setkic,30,2,down
320,146,Renzo Olivo,26,1,down
321,145,Marek Jaloviec,24,,
322,145,Roberto Ortega-Olmedo,27,,
323,144,Bradley Mousley,22,10,up
324,144,Mathias Bourgue,24,1,down
325,142,Alejandro Gonzalez,29,,
326,141,Frederico Ferreira Silva,23,29,up
327,140,Saketh Myneni,30,1,up
328,140,Steven Diez,27,8,down
329,139,Juan Pablo Varillas,22,,
330,139,Arjun Kadhe,24,,
331,138,Andrew Whittington,25,,
332,138,Harri Heliovaara,29,,
333,137,Marcelo Tomas Barrios Vera,20,1,up
334,136,Illya Marchenko,30,2,up
335,136,Roberto Marcora,28,5,up
336,134,Andrea Basso,24,15,up
337,132,Santiago Giraldo,30,10,down
338,132,David Perez Sanz,24,19,up
339,131,Jerzy Janowicz,27,3,up
340,130,Marinko Matosevic,33,3,up
341,129,Zhizhen Zhang,21,3,up
342,129,Andrew Harris,24,3,up
343,129,Yan Bai,29,3,up
344,129,Daniel Munoz de la Nava,36,9,down
345,128,Collin Altamirano,22,2,up
346,128,Tristan Lamasine,25,2,up
347,128,Andres Artunedo Martinavarro,24,13,up
348,127,Marcos Giron,25,1,up
349,127,Yannick Mertens,31,1,up
350,125,Andrea Pellegrino,21,12,down
351,125,Facundo Arguello,26,2,up
352,125,Jelle Sels,23,16,up
353,125,Marsel Ilhan,31,29,down
354,124,Vincent Millot,32,,
355,124,Pietro Rondoni,24,70,up
356,123,Fabien Reboul,22,31,up
357,122,Joao Monteiro,24,5,down
358,121,Benjamin Hassan,23,23,up
359,121,Alexander Sarkissian,28,2,up
360,119,Igor Sijsling,31,4,up
