8,2019-7434-f724-sa93,/en/scores/2019/7434/MS023/match-stats?isLive=False,01:33:08,93,4,1,36,60,29,36,13,24,2,4,42,60,12,41,23,38,4,8,10,10,35,79,77,139,2,3,41,79,29,41,15,38,4,8,44,79,7,36,11,24,2,4,10,10,18,60,62,139
8,2019-7434-a0ab-e690,/en/scores/2019/7434/MS021/match-stats?isLive=False,02:19:39,139,2,7,52,92,32,52,24,40,1,5,56,92,14,56,22,43,4,7,15,16,36,99,92,191,14,9,56,99,42,56,21,43,3,7,63,99,20,52,16,40,4,5,16,15,36,92,99,191
8,2019-7434-h756-kc33,/en/scores/2019/7434/MS026/match-stats?isLive=False,01:14:04,74,7,4,37,58,29,37,13,21,3,3,42,58,16,44,13,22,3,8,9,9,29,66,71,124,6,3,44,66,28,44,9,22,5,8,37,66,8,37,8,21,0,3,9,9,16,58,53,124
8,2019-7434-be67-k966,/en/scores/2019/7434/MS025/match-stats?isLive=False,01:22:47,82,1,2,38,65,26,38,10,27,0,5,36,65,10,43,11,22,2,2,11,12,21,65,57,130,9,2,43,65,33,43,11,22,0,2,44,65,12,38,17,27,5,5,12,11,29,65,73,130
8,2019-7434-db63-k926,/en/scores/2019/7434/MS029/match-stats?isLive=False,01:43:24,103,9,7,56,85,38,56,13,29,6,9,51,85,9,30,9,32,2,3,11,11,18,62,69,147,1,0,30,62,21,30,23,32,1,3,44,62,18,56,16,29,3,9,11,11,34,85,78,147
8,2019-7434-mh16-me82,/en/scores/2019/7434/MS022/match-stats?isLive=False,01:46:52,106,1,2,43,77,29,43,19,34,3,5,48,77,12,37,24,46,3,8,11,11,36,83,84,160,7,6,37,83,25,37,22,46,5,8,47,83,14,43,15,34,2,5,11,11,29,77,76,160
8,2019-7434-sl28-ta12,/en/scores/2019/7434/MS030/match-stats?isLive=False,01:14:31,74,12,3,26,55,23,26,18,29,2,2,41,55,8,31,20,36,2,6,10,9,28,67,69,122,5,3,31,67,23,31,16,36,4,6,39,67,3,26,11,29,0,2,9,10,14,55,53,122
8,2019-7434-mh16-sf76,/en/scores/2019/7434/QS004/match-stats?isLive=False,02:32:06,152,1,6,75,113,57,75,17,38,4,6,74,113,15,59,23,41,2,10,16,15,38,100,112,213,15,3,59,100,44,59,18,41,8,10,62,100,18,75,21,38,2,6,15,16,39,113,101,213
8,2019-7434-ta12-gc89,/en/scores/2019/7434/QS005/match-stats?isLive=False,02:12:51,132,11,2,51,107,42,51,28,56,7,8,70,107,18,64,20,37,2,4,15,15,38,101,108,208,8,6,64,101,46,64,17,37,2,4,63,101,9,51,28,56,1,8,15,15,37,107,100,208
8,2019-7434-sc77-bc72,/en/scores/2019/7434/QS007/match-stats?isLive=False,01:29:44,89,13,2,52,80,37,52,11,28,4,8,48,80,12,43,16,35,3,6,11,11,28,78,76,158,8,4,43,78,31,43,19,35,3,6,50,78,15,52,17,28,4,8,11,11,32,80,82,158
